date,track,race_time,runner_number,dog_name,strategy,StrategyMinPrice,StrategyMaxPrice,Distance,Grade,AnalystVerdictPosition,ForecastRank,ForecastFractional,ForecastDecimal,ForecastState,Status,ExclusionCategory,Reason
2026-09-15,Central Park,18:14,3,Hot Jackie,"UK LAY Central Park Trap 3,4",10,110,277m,D1,1,1,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-15,Central Park,18:14,4,Emjay Flyer,"UK LAY Central Park Trap 3,4",10,110,277m,D1,3,5,5/1,6.0,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Central Park,18:31,3,Ardera Jake,"UK LAY Central Park Trap 3,4",10,110,491m,A4,1,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-15,Central Park,18:31,4,Footfield Josie,"UK LAY Central Park Trap 3,4",10,110,491m,A4,OUTSIDE_TOP3,6,19/2,10.5,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Central Park,20:31,3,Montana Jazz,"UK LAY Central Park Trap 3,4",10,110,277m,D2,1,1,9/4,3.25,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-15,Central Park,20:31,4,Ivy Hill Angel,"UK LAY Central Park Trap 3,4",10,110,277m,D2,OUTSIDE_TOP3,5,7/1,8.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Central Park,20:47,3,Poppadom Tom,"UK LAY Central Park Trap 3,4",10,110,491m,A1,OUTSIDE_TOP3,5,17/2,9.5,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Central Park,20:47,4,Rylane Lady,"UK LAY Central Park Trap 3,4",10,110,491m,A1,OUTSIDE_TOP3,6,10/1,11.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Central Park,21:04,3,Barnfield Tiara,"UK LAY Central Park Trap 3,4",10,110,277m,D3,OUTSIDE_TOP3,2,11/4,3.75,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 2, 11/4; decimal 3.75)"
2026-09-15,Central Park,21:04,4,Whitehills Gent,"UK LAY Central Park Trap 3,4",10,110,277m,D3,OUTSIDE_TOP3,5,8/1,9.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Monmore,14:49,2,Mactwins,"UK LAY Monmore Trap 2,5,6",4,100,264m,D3,3,3,9/2,5.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Monmore,14:49,5,Youre Gone,"UK LAY Monmore Trap 2,5,6",4,100,264m,D3,2,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-15,Monmore,14:49,6,Swift Ramona,"UK LAY Monmore Trap 2,5,6",4,100,264m,D3,OUTSIDE_TOP3,4,5/1,6.0,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (5/1; decimal 6.00); retained absent converging danger evidence
2026-09-15,Monmore,15:27,2,Lady Luck,"UK LAY Monmore Trap 2,5,6",4,100,480m,A9,1,1,9/4,3.25,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-15,Monmore,15:27,5,Jimmytheconman,"UK LAY Monmore Trap 2,5,6",4,100,480m,A9,3,5,5/1,6.0,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Monmore,15:27,6,Longacres Creed,"UK LAY Monmore Trap 2,5,6",4,100,480m,A9,OUTSIDE_TOP3,4,9/2,5.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (9/2; decimal 5.50); retained absent converging danger evidence
2026-09-15,Monmore,15:47,2,Stackemup Amy,"UK LAY Monmore Trap 2,5,6",4,100,264m,D4,1,2,11/4,3.75,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-15,Monmore,15:47,5,Pennys Shadow,"UK LAY Monmore Trap 2,5,6",4,100,264m,D4,2,1,2/1,3.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-15,Monmore,15:47,6,Pay On Time,"UK LAY Monmore Trap 2,5,6",4,100,264m,D4,OUTSIDE_TOP3,5,8/1,9.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Monmore,16:04,2,Starmount Flash,"UK LAY Monmore Trap 2,5,6",4,100,480m,A7,OUTSIDE_TOP3,6,13/2,7.5,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Monmore,16:04,5,Butterbean,"UK LAY Monmore Trap 2,5,6",4,100,480m,A7,OUTSIDE_TOP3,5,6/1,7.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Monmore,16:04,6,Swift Depend,"UK LAY Monmore Trap 2,5,6",4,100,480m,A7,2,1,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-15,Monmore,16:24,2,Aero Sally,"UK LAY Monmore Trap 2,5,6",4,100,480m,A5,OUTSIDE_TOP3,5,6/1,7.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Monmore,16:24,5,Longacres Ella,"UK LAY Monmore Trap 2,5,6",4,100,480m,A5,3,2,9/2,5.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Monmore,16:24,6,Aero Dulcie,"UK LAY Monmore Trap 2,5,6",4,100,480m,A5,OUTSIDE_TOP3,6,10/1,11.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Monmore,16:42,2,Mystical Cash,"UK LAY Monmore Trap 2,5,6",4,100,480m,A6,1,1,5/2,3.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-15,Monmore,16:42,5,Downmexicoway,"UK LAY Monmore Trap 2,5,6",4,100,480m,A6,OUTSIDE_TOP3,5,6/1,7.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Monmore,16:42,6,Chuckies Angel,"UK LAY Monmore Trap 2,5,6",4,100,480m,A6,3,3,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Monmore,17:57,2,Starmount Herbie,"UK LAY Monmore Trap 2,5,6",4,100,480m,A7,2,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-15,Monmore,17:57,5,Reefer Madness,"UK LAY Monmore Trap 2,5,6",4,100,480m,A7,OUTSIDE_TOP3,4,9/2,5.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (9/2; decimal 5.50); retained absent converging danger evidence
2026-09-15,Monmore,17:57,6,Yama King,"UK LAY Monmore Trap 2,5,6",4,100,480m,A7,3,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Sunderland,18:53,4,Tommys Picture,UK LAY Sunderland Trap 4,9,100,450m,A5,OUTSIDE_TOP3,6,9/1,10.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Sunderland,19:44,4,Divas Girl,UK LAY Sunderland Trap 4,9,100,450m,A3,OUTSIDE_TOP3,4,9/2,5.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (9/2; decimal 5.50); retained absent converging danger evidence
2026-09-15,Sunderland,20:36,4,Baby Centurion,UK LAY Sunderland Trap 4,9,100,450m,A6,2,1,2/1,3.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-15,Sunderland,21:11,4,Westforth Lynett,UK LAY Sunderland Trap 4,9,100,450m,A9,OUTSIDE_TOP3,2,7/2,4.5,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 2, 7/2; decimal 4.50)"
2026-09-15,Towcester,18:08,1,Amka Wolf,"UK LAY Towcester Trap 1,5,6",4,100,460m,B4,3,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Towcester,18:08,5,Jaz Style,"UK LAY Towcester Trap 1,5,6",4,100,460m,B4,2,3,9/2,5.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-15,Towcester,18:08,6,Clermount,"UK LAY Towcester Trap 1,5,6",4,100,460m,B4,1,1,13/8,2.625,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-15,Towcester,18:26,1,Trapstyle Pasha,"UK LAY Towcester Trap 1,5,6",4,100,270m,D4,3,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Towcester,18:26,5,Loher Mag,"UK LAY Towcester Trap 1,5,6",4,100,270m,D4,OUTSIDE_TOP3,6,10/1,11.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Towcester,18:26,6,Antigua Burn,"UK LAY Towcester Trap 1,5,6",4,100,270m,D4,OUTSIDE_TOP3,5,13/2,7.5,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Towcester,18:42,1,Dunquin Aidan,"UK LAY Towcester Trap 1,5,6",4,100,500m,A4,OUTSIDE_TOP3,4,9/2,5.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (9/2; decimal 5.50); retained absent converging danger evidence
2026-09-15,Towcester,18:42,5,Be More Ruthless,"UK LAY Towcester Trap 1,5,6",4,100,500m,A4,3,3,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Towcester,18:42,6,Knockard Joe,"UK LAY Towcester Trap 1,5,6",4,100,500m,A4,2,2,100/30,4.3333,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-15,Towcester,18:59,1,Pauls Opinion,"UK LAY Towcester Trap 1,5,6",4,100,270m,D2,OUTSIDE_TOP3,5,11/2,6.5,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Towcester,18:59,5,Cashout Mcilroy,"UK LAY Towcester Trap 1,5,6",4,100,270m,D2,3,1,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Towcester,18:59,6,Twolegsofour,"UK LAY Towcester Trap 1,5,6",4,100,270m,D2,OUTSIDE_TOP3,6,6/1,7.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Towcester,19:16,1,Makeit Goofy,"UK LAY Towcester Trap 1,5,6",4,100,270m,D2,2,3,5/1,6.0,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-15,Towcester,19:16,5,Zebedee Dublin,"UK LAY Towcester Trap 1,5,6",4,100,270m,D2,OUTSIDE_TOP3,3,5/1,6.0,BOUNDARY_TIE,RETAINED,,Forecast tie crosses third-place boundary; retained absent stronger evidence
2026-09-15,Towcester,19:16,6,Plaza Bruno,"UK LAY Towcester Trap 1,5,6",4,100,270m,D2,OUTSIDE_TOP3,3,5/1,6.0,BOUNDARY_TIE,RETAINED,,Forecast tie crosses third-place boundary; retained absent stronger evidence
2026-09-15,Towcester,19:33,1,Twominutes Ellie,"UK LAY Towcester Trap 1,5,6",4,100,500m,A7,OUTSIDE_TOP3,6,10/1,11.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Towcester,19:33,5,Ballycleary Bono,"UK LAY Towcester Trap 1,5,6",4,100,500m,A7,2,3,4/1,5.0,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-15,Towcester,19:33,6,Bellicus Breeze,"UK LAY Towcester Trap 1,5,6",4,100,500m,A7,3,1,2/1,3.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Towcester,19:49,1,Trapstylebashful,"UK LAY Towcester Trap 1,5,6",4,100,500m,A6,3,2,100/30,4.3333,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Towcester,19:49,5,Essex Abz,"UK LAY Towcester Trap 1,5,6",4,100,500m,A6,2,3,4/1,5.0,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-15,Towcester,19:49,6,Kranky Katie,"UK LAY Towcester Trap 1,5,6",4,100,500m,A6,OUTSIDE_TOP3,3,4/1,5.0,BOUNDARY_TIE,RETAINED,,Forecast tie crosses third-place boundary; retained absent stronger evidence
2026-09-15,Towcester,20:07,1,Adachi Red Devil,"UK LAY Towcester Trap 1,5,6",4,100,270m,D3,OUTSIDE_TOP3,6,10/1,11.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Towcester,20:07,5,Carlow Town,"UK LAY Towcester Trap 1,5,6",4,100,270m,D3,OUTSIDE_TOP3,4,11/2,6.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (11/2; decimal 6.50); retained absent converging danger evidence
2026-09-15,Towcester,20:07,6,Trapstyle Henrik,"UK LAY Towcester Trap 1,5,6",4,100,270m,D3,3,3,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Towcester,20:24,1,Salacres Tipster,"UK LAY Towcester Trap 1,5,6",4,100,500m,A3,OUTSIDE_TOP3,3,7/2,4.5,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 3, 7/2; decimal 4.50)"
2026-09-15,Towcester,20:24,5,Grafton Star,"UK LAY Towcester Trap 1,5,6",4,100,500m,A3,3,4,4/1,5.0,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Towcester,20:24,6,All About Rosie,"UK LAY Towcester Trap 1,5,6",4,100,500m,A3,1,1,2/1,3.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-15,Towcester,20:41,1,Savana Rocco,"UK LAY Towcester Trap 1,5,6",4,100,270m,D3,OUTSIDE_TOP3,5,11/2,6.5,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Towcester,20:41,5,Drews Fantasy,"UK LAY Towcester Trap 1,5,6",4,100,270m,D3,OUTSIDE_TOP3,4,9/2,5.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (9/2; decimal 5.50); retained absent converging danger evidence
2026-09-15,Towcester,20:41,6,Cragbrien Hero,"UK LAY Towcester Trap 1,5,6",4,100,270m,D3,OUTSIDE_TOP3,6,7/1,8.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Towcester,20:59,1,Salacres Lucia,"UK LAY Towcester Trap 1,5,6",4,100,270m,D1,2,2,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-15,Towcester,20:59,5,Jacktavern Susie,"UK LAY Towcester Trap 1,5,6",4,100,270m,D1,OUTSIDE_TOP3,6,10/1,11.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Towcester,20:59,6,Jazzy Ace,"UK LAY Towcester Trap 1,5,6",4,100,270m,D1,1,1,1/1,2.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-15,Towcester,21:16,1,Valkyrie Warrior,"UK LAY Towcester Trap 1,5,6",4,100,500m,A8,2,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-15,Towcester,21:16,5,Moredramakirstie,"UK LAY Towcester Trap 1,5,6",4,100,500m,A8,OUTSIDE_TOP3,4,11/2,6.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (11/2; decimal 6.50); retained absent converging danger evidence
2026-09-15,Towcester,21:16,6,Quest Master,"UK LAY Towcester Trap 1,5,6",4,100,500m,A8,3,5,13/2,7.5,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Valley,16:37,1,Bluejig Aoife,"UK LAY Valley Trap 1,3,4",4,100,460m,A3,3,3,11/2,6.5,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-15,Valley,16:37,3,Hawkfield Tiktok,"UK LAY Valley Trap 1,3,4",4,100,460m,A3,OUTSIDE_TOP3,6,7/1,8.0,OUTSIDE_TOP3,RETAINED,,
2026-09-15,Valley,16:37,4,Determined Orla,"UK LAY Valley Trap 1,3,4",4,100,460m,A3,1,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
