Provider,SelectionName,MarketType,StartTime,BetType,Size,MinPrice,MaxPrice,BSP
Daily Strategy Filter,Footfield Josie,WIN,15/09/2026 18:31,LAY,1,10,110,FALSE
Daily Strategy Filter,Ivy Hill Angel,WIN,15/09/2026 20:31,LAY,1,10,110,FALSE
Daily Strategy Filter,Poppadom Tom,WIN,15/09/2026 20:47,LAY,1,10,110,FALSE
Daily Strategy Filter,Rylane Lady,WIN,15/09/2026 20:47,LAY,1,10,110,FALSE
Daily Strategy Filter,Whitehills Gent,WIN,15/09/2026 21:04,LAY,1,10,110,FALSE
Daily Strategy Filter,Swift Ramona,WIN,15/09/2026 14:49,LAY,1,4,100,FALSE
Daily Strategy Filter,Longacres Creed,WIN,15/09/2026 15:27,LAY,1,4,100,FALSE
Daily Strategy Filter,Pay On Time,WIN,15/09/2026 15:47,LAY,1,4,100,FALSE
Daily Strategy Filter,Starmount Flash,WIN,15/09/2026 16:04,LAY,1,4,100,FALSE
Daily Strategy Filter,Butterbean,WIN,15/09/2026 16:04,LAY,1,4,100,FALSE
Daily Strategy Filter,Aero Sally,WIN,15/09/2026 16:24,LAY,1,4,100,FALSE
Daily Strategy Filter,Aero Dulcie,WIN,15/09/2026 16:24,LAY,1,4,100,FALSE
Daily Strategy Filter,Downmexicoway,WIN,15/09/2026 16:42,LAY,1,4,100,FALSE
Daily Strategy Filter,Reefer Madness,WIN,15/09/2026 17:57,LAY,1,4,100,FALSE
Daily Strategy Filter,Tommys Picture,WIN,15/09/2026 18:53,LAY,1,9,100,FALSE
Daily Strategy Filter,Divas Girl,WIN,15/09/2026 19:44,LAY,1,9,100,FALSE
Daily Strategy Filter,Loher Mag,WIN,15/09/2026 18:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Antigua Burn,WIN,15/09/2026 18:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Dunquin Aidan,WIN,15/09/2026 18:42,LAY,1,4,100,FALSE
Daily Strategy Filter,Pauls Opinion,WIN,15/09/2026 18:59,LAY,1,4,100,FALSE
Daily Strategy Filter,Twolegsofour,WIN,15/09/2026 18:59,LAY,1,4,100,FALSE
Daily Strategy Filter,Zebedee Dublin,WIN,15/09/2026 19:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Plaza Bruno,WIN,15/09/2026 19:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Twominutes Ellie,WIN,15/09/2026 19:33,LAY,1,4,100,FALSE
Daily Strategy Filter,Kranky Katie,WIN,15/09/2026 19:49,LAY,1,4,100,FALSE
Daily Strategy Filter,Adachi Red Devil,WIN,15/09/2026 20:07,LAY,1,4,100,FALSE
Daily Strategy Filter,Carlow Town,WIN,15/09/2026 20:07,LAY,1,4,100,FALSE
Daily Strategy Filter,Savana Rocco,WIN,15/09/2026 20:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Drews Fantasy,WIN,15/09/2026 20:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Cragbrien Hero,WIN,15/09/2026 20:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Jacktavern Susie,WIN,15/09/2026 20:59,LAY,1,4,100,FALSE
Daily Strategy Filter,Moredramakirstie,WIN,15/09/2026 21:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Hawkfield Tiktok,WIN,15/09/2026 16:37,LAY,1,4,100,FALSE
