Provider,SelectionName,MarketType,StartTime,BetType,Size,MinPrice,MaxPrice,BSP
Daily Strategy 2,Footfield Josie,WIN,15/09/2026 18:31,LAY,1,10,110,FALSE
Daily Strategy 2,Ivy Hill Angel,WIN,15/09/2026 20:31,LAY,1,10,110,FALSE
Daily Strategy 2,Poppadom Tom,WIN,15/09/2026 20:47,LAY,1,10,110,FALSE
Daily Strategy 2,Rylane Lady,WIN,15/09/2026 20:47,LAY,1,10,110,FALSE
Daily Strategy 2,Whitehills Gent,WIN,15/09/2026 21:04,LAY,1,10,110,FALSE
Daily Strategy 2,Swift Ramona,WIN,15/09/2026 14:49,LAY,1,4,100,FALSE
Daily Strategy 2,Longacres Creed,WIN,15/09/2026 15:27,LAY,1,4,100,FALSE
Daily Strategy 2,Pay On Time,WIN,15/09/2026 15:47,LAY,1,4,100,FALSE
Daily Strategy 2,Starmount Flash,WIN,15/09/2026 16:04,LAY,1,4,100,FALSE
Daily Strategy 2,Butterbean,WIN,15/09/2026 16:04,LAY,1,4,100,FALSE
Daily Strategy 2,Aero Sally,WIN,15/09/2026 16:24,LAY,1,4,100,FALSE
Daily Strategy 2,Aero Dulcie,WIN,15/09/2026 16:24,LAY,1,4,100,FALSE
Daily Strategy 2,Downmexicoway,WIN,15/09/2026 16:42,LAY,1,4,100,FALSE
Daily Strategy 2,Reefer Madness,WIN,15/09/2026 17:57,LAY,1,4,100,FALSE
Daily Strategy 2,Tommys Picture,WIN,15/09/2026 18:53,LAY,1,9,100,FALSE
Daily Strategy 2,Divas Girl,WIN,15/09/2026 19:44,LAY,1,9,100,FALSE
Daily Strategy 2,Loher Mag,WIN,15/09/2026 18:26,LAY,1,4,100,FALSE
Daily Strategy 2,Antigua Burn,WIN,15/09/2026 18:26,LAY,1,4,100,FALSE
Daily Strategy 2,Dunquin Aidan,WIN,15/09/2026 18:42,LAY,1,4,100,FALSE
Daily Strategy 2,Pauls Opinion,WIN,15/09/2026 18:59,LAY,1,4,100,FALSE
Daily Strategy 2,Twolegsofour,WIN,15/09/2026 18:59,LAY,1,4,100,FALSE
Daily Strategy 2,Zebedee Dublin,WIN,15/09/2026 19:16,LAY,1,4,100,FALSE
Daily Strategy 2,Plaza Bruno,WIN,15/09/2026 19:16,LAY,1,4,100,FALSE
Daily Strategy 2,Twominutes Ellie,WIN,15/09/2026 19:33,LAY,1,4,100,FALSE
Daily Strategy 2,Kranky Katie,WIN,15/09/2026 19:49,LAY,1,4,100,FALSE
Daily Strategy 2,Adachi Red Devil,WIN,15/09/2026 20:07,LAY,1,4,100,FALSE
Daily Strategy 2,Carlow Town,WIN,15/09/2026 20:07,LAY,1,4,100,FALSE
Daily Strategy 2,Savana Rocco,WIN,15/09/2026 20:41,LAY,1,4,100,FALSE
Daily Strategy 2,Drews Fantasy,WIN,15/09/2026 20:41,LAY,1,4,100,FALSE
Daily Strategy 2,Cragbrien Hero,WIN,15/09/2026 20:41,LAY,1,4,100,FALSE
Daily Strategy 2,Jacktavern Susie,WIN,15/09/2026 20:59,LAY,1,4,100,FALSE
Daily Strategy 2,Moredramakirstie,WIN,15/09/2026 21:16,LAY,1,4,100,FALSE
Daily Strategy 2,Hawkfield Tiktok,WIN,15/09/2026 16:37,LAY,1,4,100,FALSE
