date,track,race_time,runner_number,dog_name,strategy,StrategyMinPrice,StrategyMaxPrice,Distance,Grade,AnalystVerdictPosition,ForecastRank,ForecastFractional,ForecastDecimal,ForecastState,Status,ExclusionCategory,Reason
2026-09-24,Central Park,15:01,3,Rallying Lucy,"UK LAY Central Park Trap 3,4",10,110,277m,D4,3,3,9/2,5.5,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-24,Central Park,15:01,4,Stophers Pumpkin,"UK LAY Central Park Trap 3,4",10,110,277m,D4,2,2,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-24,Central Park,15:19,3,Deelish Maggie,"UK LAY Central Park Trap 3,4",10,110,491m,A2,OUTSIDE_TOP3,5,6/1,7.0,OUTSIDE_TOP3,RETAINED,,
2026-09-24,Central Park,15:19,4,Lets Go Johnny,"UK LAY Central Park Trap 3,4",10,110,491m,A2,1,1,11/8,2.375,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-24,Central Park,15:38,3,Scilly Willow,"UK LAY Central Park Trap 3,4",10,110,277m,D3,OUTSIDE_TOP3,6,6/1,7.0,OUTSIDE_TOP3,RETAINED,,
2026-09-24,Central Park,15:38,4,Autumn Breeze,"UK LAY Central Park Trap 3,4",10,110,277m,D3,OUTSIDE_TOP3,4,11/2,6.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (11/2; decimal 6.50); retained absent converging danger evidence
2026-09-24,Central Park,16:53,3,Baggios Nikita,"UK LAY Central Park Trap 3,4",10,110,277m,D1,OUTSIDE_TOP3,5,11/2,6.5,OUTSIDE_TOP3,RETAINED,,
2026-09-24,Central Park,16:53,4,Stophers Trick,"UK LAY Central Park Trap 3,4",10,110,277m,D1,2,3,9/2,5.5,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-24,Central Park,17:12,3,Droopys Package,"UK LAY Central Park Trap 3,4",10,110,491m,A1,1,1,11/5,3.2,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-24,Central Park,17:12,4,Poppadom Tom,"UK LAY Central Park Trap 3,4",10,110,491m,A1,OUTSIDE_TOP3,6,14/1,15.0,OUTSIDE_TOP3,RETAINED,,
