Provider,SelectionName,MarketType,StartTime,BetType,Size,MinPrice,MaxPrice,BSP
Daily Strategy Filter,Coillbhui Nora,WIN,14/09/2026 15:51,LAY,1,10,110,FALSE
Daily Strategy Filter,Savana Georgia,WIN,14/09/2026 16:09,LAY,1,10,110,FALSE
Daily Strategy Filter,Skinny Pete,WIN,14/09/2026 10:32,LAY,1,12,100,FALSE
Daily Strategy Filter,Ballybrennan Joe,WIN,14/09/2026 10:48,LAY,1,12,100,FALSE
Daily Strategy Filter,Rathbally Anna,WIN,14/09/2026 11:38,LAY,1,12,100,FALSE
Daily Strategy Filter,Centre Line,WIN,14/09/2026 11:54,LAY,1,12,100,FALSE
Daily Strategy Filter,Millview Bobby,WIN,14/09/2026 11:54,LAY,1,12,100,FALSE
Daily Strategy Filter,Classic Cindy,WIN,14/09/2026 12:29,LAY,1,12,100,FALSE
Daily Strategy Filter,Tanvalley Blonde,WIN,14/09/2026 13:37,LAY,1,12,100,FALSE
Daily Strategy Filter,Darrens Dog,WIN,14/09/2026 18:11,LAY,1,12,100,FALSE
Daily Strategy Filter,Savana Beth,WIN,14/09/2026 18:11,LAY,1,12,100,FALSE
Daily Strategy Filter,Small But Speedy,WIN,14/09/2026 19:42,LAY,1,12,100,FALSE
Daily Strategy Filter,Front Milan,WIN,14/09/2026 19:58,LAY,1,12,100,FALSE
Daily Strategy Filter,Savana Marylou,WIN,14/09/2026 20:34,LAY,1,12,100,FALSE
Daily Strategy Filter,Ballybrennan Pat,WIN,14/09/2026 20:34,LAY,1,12,100,FALSE
Daily Strategy Filter,Burgess Doireann,WIN,14/09/2026 20:52,LAY,1,12,100,FALSE
Daily Strategy Filter,Jumbos Mia,WIN,14/09/2026 21:09,LAY,1,12,100,FALSE
Daily Strategy Filter,Savana Tir Nanog,WIN,14/09/2026 21:09,LAY,1,12,100,FALSE
Daily Strategy Filter,Jacko Carvoeiro,WIN,14/09/2026 21:26,LAY,1,12,100,FALSE
Daily Strategy Filter,Painters Rory,WIN,14/09/2026 14:23,LAY,1,4,100,FALSE
Daily Strategy Filter,Monument Valley,WIN,14/09/2026 14:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Skylars Chloe,WIN,14/09/2026 15:01,LAY,1,4,100,FALSE
Daily Strategy Filter,Jayjays Ace,WIN,14/09/2026 15:01,LAY,1,4,100,FALSE
Daily Strategy Filter,Priceless Buzz,WIN,14/09/2026 15:19,LAY,1,4,100,FALSE
Daily Strategy Filter,Betrayl,WIN,14/09/2026 15:57,LAY,1,4,100,FALSE
Daily Strategy Filter,Knockroe Emma,WIN,14/09/2026 16:34,LAY,1,4,100,FALSE
Daily Strategy Filter,Tickets Bang,WIN,14/09/2026 16:53,LAY,1,4,100,FALSE
Daily Strategy Filter,Return Fire,WIN,14/09/2026 17:31,LAY,1,4,100,FALSE
Daily Strategy Filter,Stormy Bonito,WIN,14/09/2026 17:49,LAY,1,4,100,FALSE
Daily Strategy Filter,Winterfield Star,WIN,14/09/2026 17:49,LAY,1,4,100,FALSE
Daily Strategy Filter,Gallant Taylor,WIN,14/09/2026 19:27,LAY,1,1.01,100,FALSE
Daily Strategy Filter,Mossend Bute,WIN,14/09/2026 20:19,LAY,1,1.01,100,FALSE
Daily Strategy Filter,Antigua Iceman,WIN,14/09/2026 14:29,LAY,1,9,100,FALSE
Daily Strategy Filter,Mallogs Gracie,WIN,14/09/2026 14:48,LAY,1,9,100,FALSE
Daily Strategy Filter,Good Edge,WIN,14/09/2026 15:07,LAY,1,9,100,FALSE
Daily Strategy Filter,Fercullen Dodge,WIN,14/09/2026 15:44,LAY,1,9,100,FALSE
Daily Strategy Filter,El Prez Bandit,WIN,14/09/2026 18:08,LAY,1,4,100,FALSE
Daily Strategy Filter,Freyas Lula,WIN,14/09/2026 18:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Trapstyle Wee,WIN,14/09/2026 18:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Makeit Anton,WIN,14/09/2026 19:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Toems Model,WIN,14/09/2026 19:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Hiya Carneiro,WIN,14/09/2026 19:49,LAY,1,4,100,FALSE
Daily Strategy Filter,Deerland Flyer,WIN,14/09/2026 20:24,LAY,1,4,100,FALSE
Daily Strategy Filter,Foulkscourtstorm,WIN,14/09/2026 20:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Fifis Lad,WIN,14/09/2026 20:59,LAY,1,4,100,FALSE
Daily Strategy Filter,Ivy Hill Willow,WIN,14/09/2026 20:59,LAY,1,4,100,FALSE
Daily Strategy Filter,Amka Phantom,WIN,14/09/2026 21:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Swift You,WIN,14/09/2026 19:06,LAY,1,6,50,FALSE
Daily Strategy Filter,Wee Mac Jimbo,WIN,14/09/2026 19:06,LAY,1,6,50,FALSE
Daily Strategy Filter,Harlequin Rose,WIN,14/09/2026 20:31,LAY,1,6,50,FALSE
