date,track,race_time,runner_number,dog_name,strategy,StrategyMinPrice,StrategyMaxPrice,Distance,Grade,AnalystVerdictPosition,ForecastRank,ForecastFractional,ForecastDecimal,ForecastState,Status,ExclusionCategory,Reason
2026-09-14,Central Park,14:36,3,Dark Rosa,"UK LAY Central Park Trap 3,4",10,110,277m,D2,1,1,9/4,3.25,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-14,Central Park,14:36,4,Vicious Amanda,"UK LAY Central Park Trap 3,4",10,110,277m,D2,2,2,11/4,3.75,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-14,Central Park,15:51,3,Blue Drout,"UK LAY Central Park Trap 3,4",10,110,277m,D1,2,1,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-14,Central Park,16:09,3,Waikiki Stone,"UK LAY Central Park Trap 3,4",10,110,491m,A4,1,3,100/30,4.3333,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-14,Central Park,16:28,3,Rosstemple Chase,"UK LAY Central Park Trap 3,4",10,110,277m,D4,3,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-14,Central Park,16:28,4,Cronody Hendrika,"UK LAY Central Park Trap 3,4",10,110,277m,D4,2,3,100/30,4.3333,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-14,Harlow,10:32,2,Mykindaguy,"UK LAY Harlow Trap 2,4",12,100,415m,A7,1,1,2/1,3.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-14,Harlow,10:48,4,Brynoffa Jill,"UK LAY Harlow Trap 2,4",12,100,238m,D5,1,1,11/10,2.1,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-14,Harlow,11:21,2,Old Fort Rinty,"UK LAY Harlow Trap 2,4",12,100,238m,D5,1,1,2/1,3.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-14,Harlow,11:21,4,Rathmeehan Judi,"UK LAY Harlow Trap 2,4",12,100,238m,D5,2,2,11/4,3.75,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
