Provider,SelectionName,MarketType,StartTime,BetType,Size,MinPrice,MaxPrice,BSP
Daily Strategy 2,Coonough View,WIN,17/09/2026 14:41,LAY,1,10,110,FALSE
Daily Strategy 2,Jaguar Enable,WIN,17/09/2026 14:41,LAY,1,10,110,FALSE
Daily Strategy 2,Stophers Pumpkin,WIN,17/09/2026 15:01,LAY,1,10,110,FALSE
Daily Strategy 2,Scary Moll Dolls,WIN,17/09/2026 17:12,LAY,1,10,110,FALSE
Daily Strategy 2,Deelish Lucy,WIN,17/09/2026 11:30,LAY,1,4,100,FALSE
Daily Strategy 2,Speedy Killeavy,WIN,17/09/2026 12:03,LAY,1,4,100,FALSE
Daily Strategy 2,Swift Perry,WIN,17/09/2026 13:58,LAY,1,4,100,FALSE
Daily Strategy 2,Pennys Snow,WIN,17/09/2026 18:14,LAY,1,4,100,FALSE
Daily Strategy 2,Catunda Apollo,WIN,17/09/2026 18:31,LAY,1,4,100,FALSE
Daily Strategy 2,Yama Queen,WIN,17/09/2026 18:31,LAY,1,4,100,FALSE
Daily Strategy 2,Good Maverick,WIN,17/09/2026 18:48,LAY,1,4,100,FALSE
Daily Strategy 2,Aero Molly,WIN,17/09/2026 19:22,LAY,1,4,100,FALSE
Daily Strategy 2,Cashin Alvin,WIN,17/09/2026 19:22,LAY,1,4,100,FALSE
Daily Strategy 2,Bloos Ladysandra,WIN,17/09/2026 19:56,LAY,1,4,100,FALSE
Daily Strategy 2,See The Secret,WIN,17/09/2026 20:47,LAY,1,4,100,FALSE
Daily Strategy 2,Longacres Spider,WIN,17/09/2026 20:47,LAY,1,4,100,FALSE
Daily Strategy 2,Swift Pavlo,WIN,17/09/2026 14:36,LAY,1,4,100,FALSE
Daily Strategy 2,Lamorna Rudie,WIN,17/09/2026 14:54,LAY,1,4,100,FALSE
Daily Strategy 2,Flee From Gossip,WIN,17/09/2026 14:54,LAY,1,4,100,FALSE
Daily Strategy 2,Netherton Lad,WIN,17/09/2026 15:13,LAY,1,4,100,FALSE
Daily Strategy 2,Gothic Opera,WIN,17/09/2026 15:32,LAY,1,4,100,FALSE
Daily Strategy 2,Swift Wally,WIN,17/09/2026 15:51,LAY,1,4,100,FALSE
Daily Strategy 2,Pagan And Chief,WIN,17/09/2026 16:09,LAY,1,4,100,FALSE
Daily Strategy 2,Lucky Sevens,WIN,17/09/2026 16:09,LAY,1,4,100,FALSE
Daily Strategy 2,Choices Jean,WIN,17/09/2026 16:28,LAY,1,4,100,FALSE
Daily Strategy 2,Decent Jeff,WIN,17/09/2026 16:28,LAY,1,4,100,FALSE
Daily Strategy 2,Dairyland Jimmy,WIN,17/09/2026 16:47,LAY,1,4,100,FALSE
Daily Strategy 2,Ballymac Pallas,WIN,17/09/2026 17:06,LAY,1,4,100,FALSE
Daily Strategy 2,Demon Slave,WIN,17/09/2026 17:06,LAY,1,4,100,FALSE
Daily Strategy 2,Salacres Jojo,WIN,17/09/2026 17:24,LAY,1,4,100,FALSE
Daily Strategy 2,Salacres Cath,WIN,17/09/2026 17:43,LAY,1,4,100,FALSE
Daily Strategy 2,Hitthelids Miley,WIN,17/09/2026 18:02,LAY,1,4,100,FALSE
Daily Strategy 2,Moathouse Roman,WIN,17/09/2026 18:02,LAY,1,4,100,FALSE
Daily Strategy 2,Crokers Lisa,WIN,17/09/2026 18:11,LAY,1,4,100,FALSE
Daily Strategy 2,Bring The Bee,WIN,17/09/2026 18:29,LAY,1,4,100,FALSE
Daily Strategy 2,Crypto Dalejo,WIN,17/09/2026 18:29,LAY,1,4,100,FALSE
Daily Strategy 2,Quare Surprise,WIN,17/09/2026 19:04,LAY,1,4,100,FALSE
Daily Strategy 2,Sudden Bolt,WIN,17/09/2026 19:04,LAY,1,4,100,FALSE
Daily Strategy 2,Hawkfield Jackie,WIN,17/09/2026 19:24,LAY,1,4,100,FALSE
Daily Strategy 2,Shelone Nifty,WIN,17/09/2026 19:24,LAY,1,4,100,FALSE
Daily Strategy 2,Mongys Sydney,WIN,17/09/2026 19:42,LAY,1,4,100,FALSE
Daily Strategy 2,Pandy Daffy,WIN,17/09/2026 20:16,LAY,1,4,100,FALSE
Daily Strategy 2,Imgoodiam,WIN,17/09/2026 20:16,LAY,1,4,100,FALSE
Daily Strategy 2,Pure Panfila,WIN,17/09/2026 20:16,LAY,1,4,100,FALSE
Daily Strategy 2,Home Grainne,WIN,17/09/2026 20:34,LAY,1,4,100,FALSE
Daily Strategy 2,Toems Hour,WIN,17/09/2026 20:34,LAY,1,4,100,FALSE
