date,track,race_time,runner_number,dog_name,race_id,source,race_url
2026-09-01,Central Park,18:14,1,Broadway Rose,514574,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514574
2026-09-01,Central Park,18:14,3,Aero Spears,514574,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514574
2026-09-01,Central Park,18:14,4,Bon Ton Roulet,514574,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514574
2026-09-01,Central Park,18:14,5,Intrinsic,514574,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514574
2026-09-01,Central Park,18:14,6,Quivers Amaze,514574,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514574
2026-09-01,Central Park,18:31,2,Doug Squirrel,514575,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514575
2026-09-01,Central Park,18:31,3,Tonnta,514575,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514575
2026-09-01,Central Park,18:31,4,Rudy Milly,514575,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514575
2026-09-01,Central Park,18:31,5,Whiddy Tess,514575,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514575
2026-09-01,Central Park,18:31,6,Rising Molly,514575,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514575
2026-09-01,Central Park,18:48,1,Droopys Promise,514576,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514576
2026-09-01,Central Park,18:48,2,Insane Ace,514576,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514576
2026-09-01,Central Park,18:48,3,Cyclers Storm,514576,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514576
2026-09-01,Central Park,18:48,4,Ask The Warden,514576,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514576
2026-09-01,Central Park,18:48,5,Harlequin Messi,514576,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514576
2026-09-01,Central Park,18:48,6,Ross Sky,514576,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514576
2026-09-01,Central Park,19:06,2,Autumn Elizabeth,514577,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514577
2026-09-01,Central Park,19:06,3,Genuine Sambuca,514577,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514577
2026-09-01,Central Park,19:06,4,Keefill Zeus,514577,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514577
2026-09-01,Central Park,19:06,5,Naughty Bonnie,514577,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514577
2026-09-01,Central Park,19:06,6,King Pavarotti,514577,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514577
2026-09-01,Central Park,19:22,2,Deelish Millie,514578,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514578
2026-09-01,Central Park,19:22,3,Ferryforth Bluey,514578,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514578
2026-09-01,Central Park,19:22,4,Da Prophet,514578,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514578
2026-09-01,Central Park,19:22,5,Fawkham Sunrise,514578,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514578
2026-09-01,Central Park,19:22,6,Insane Vanessa,514578,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514578
2026-09-01,Central Park,19:39,1,Turbulent Teddy,514579,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514579
2026-09-01,Central Park,19:39,2,Deelish Nice,514579,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514579
2026-09-01,Central Park,19:39,3,Rydons Ranger,514579,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514579
2026-09-01,Central Park,19:39,4,Havana Shirlie,514579,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514579
2026-09-01,Central Park,19:39,6,Springwood June,514579,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514579
2026-09-01,Central Park,19:56,1,Queen Marie,514580,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514580
2026-09-01,Central Park,19:56,2,Swift Yesterday,514580,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514580
2026-09-01,Central Park,19:56,3,Savana Yahoo,514580,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514580
2026-09-01,Central Park,19:56,4,Autumn Mary,514580,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514580
2026-09-01,Central Park,19:56,5,Speedy Bas,514580,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514580
2026-09-01,Central Park,19:56,6,Eire Force Two,514580,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514580
2026-09-01,Central Park,20:13,1,Getup Me Champ,514581,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514581
2026-09-01,Central Park,20:13,2,Capel Icon,514581,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514581
2026-09-01,Central Park,20:13,3,Whoopwhoop Molly,514581,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-01/central-park/racecard/514581
