date,track,race_time,runner_number,dog_name,race_id,source,race_url
2026-08-31,Central Park,14:36,1,Happy Place,514396,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514396
2026-08-31,Central Park,14:36,2,Front Shani,514396,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514396
2026-08-31,Central Park,14:36,3,Blue Drout,514396,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514396
2026-08-31,Central Park,14:36,4,Stophers Trick,514396,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514396
2026-08-31,Central Park,14:36,5,Rocket Rose,514396,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514396
2026-08-31,Central Park,14:36,6,Front Risk,514396,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514396
2026-08-31,Central Park,14:54,1,Insane View,514397,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514397
2026-08-31,Central Park,14:54,2,Front Layyah,514397,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514397
2026-08-31,Central Park,14:54,4,Pretty Epic,514397,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514397
2026-08-31,Central Park,14:54,5,Greatdown Lad,514397,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514397
2026-08-31,Central Park,14:54,6,Howareya Habibi,514397,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514397
2026-08-31,Central Park,15:13,1,Canal River,514398,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514398
2026-08-31,Central Park,15:13,2,Honey Cash,514398,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514398
2026-08-31,Central Park,15:13,3,Antigua Heat,514398,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514398
2026-08-31,Central Park,15:13,4,Ask Julie,514398,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514398
2026-08-31,Central Park,15:13,5,Toems Sadie,514398,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514398
2026-08-31,Central Park,15:13,6,Kitmins Jessica,514398,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514398
2026-08-31,Central Park,15:32,1,Lets Go Lucie,514399,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514399
2026-08-31,Central Park,15:32,2,Dapper Finn,514399,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514399
2026-08-31,Central Park,15:32,3,Swift Quaid,514399,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514399
2026-08-31,Central Park,15:32,4,Im Afraid Not,514399,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514399
2026-08-31,Central Park,15:32,6,Swift Dallas,514399,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514399
2026-08-31,Central Park,15:51,1,Droopys Chatter,514400,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-31/central-park/racecard/514400
