date,track,race_time,runner_number,dog_name,race_id,source,race_url
2026-08-19,Doncaster,16:44,5,Glitter Cooky,512886,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/doncaster/racecard/512886
2026-08-19,Doncaster,16:44,6,Cockney King Kev,512886,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/doncaster/racecard/512886
2026-08-19,Dunstall Park,18:08,1,Flyhigh Sienna,512797,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512797
2026-08-19,Dunstall Park,18:08,2,Ivys Violet,512797,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512797
2026-08-19,Dunstall Park,18:08,3,Mickys Choice,512797,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512797
2026-08-19,Dunstall Park,18:08,4,Slow Joe,512797,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512797
2026-08-19,Dunstall Park,18:08,5,Ivys Hope,512797,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512797
2026-08-19,Dunstall Park,18:08,6,Berniethebaliff,512797,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512797
2026-08-19,Dunstall Park,18:26,1,Cockney Marvel,512798,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512798
2026-08-19,Dunstall Park,18:26,2,Ivy Hill Archie,512798,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512798
2026-08-19,Dunstall Park,18:26,3,Wicky Bucko,512798,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512798
2026-08-19,Dunstall Park,18:26,4,Hello Mate,512798,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512798
2026-08-19,Dunstall Park,18:26,5,Devilgate Joe,512798,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512798
2026-08-19,Dunstall Park,18:26,6,Inclementweather,512798,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512798
2026-08-19,Dunstall Park,18:42,1,Buda Tom,512799,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512799
2026-08-19,Dunstall Park,18:42,2,Mahoonagh Finn,512799,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512799
2026-08-19,Dunstall Park,18:42,3,Crokers Bank,512799,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512799
2026-08-19,Dunstall Park,18:42,4,Paddys Mazda,512799,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512799
2026-08-19,Dunstall Park,18:42,5,Regent Sky,512799,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512799
2026-08-19,Dunstall Park,18:42,6,Brosna Dave,512799,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512799
2026-08-19,Dunstall Park,18:59,1,Burrows Shadow,512800,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512800
2026-08-19,Dunstall Park,18:59,2,Taffy Gwenllian,512800,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512800
2026-08-19,Dunstall Park,18:59,3,Scarsdale Sue,512800,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512800
2026-08-19,Dunstall Park,18:59,4,Taffy Tank,512800,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512800
2026-08-19,Dunstall Park,18:59,5,Roseville Ella,512800,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512800
2026-08-19,Dunstall Park,19:16,1,Mollys Melt,512801,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512801
2026-08-19,Dunstall Park,19:16,2,Keepers Nutty,512801,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512801
2026-08-19,Dunstall Park,19:16,3,Barnagrane Jan,512801,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/dunstall-park/racecard/512801
