date,track,race_time,runner_number,dog_name,race_id,source,race_url
2026-09-05,Central Park,17:30,1,Insane Bear,515146,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515146
2026-09-05,Central Park,17:30,2,Traceys Mol,515146,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515146
2026-09-05,Central Park,17:30,3,Barnfield Tiara,515146,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515146
2026-09-05,Central Park,17:30,4,Moaning Saka,515146,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515146
2026-09-05,Central Park,17:30,6,Insane Ness,515146,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515146
2026-09-05,Central Park,17:50,1,Swift Factor,515147,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515147
2026-09-05,Central Park,17:50,2,Millbank Rocco,515147,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515147
2026-09-05,Central Park,17:50,3,Devonshire Lady,515147,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515147
2026-09-05,Central Park,17:50,5,Glenhead Tom,515147,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515147
2026-09-05,Central Park,17:50,6,Sonnys Lou Lou,515147,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515147
2026-09-05,Central Park,18:10,1,Insane View,515148,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515148
2026-09-05,Central Park,18:10,2,Beckley Jojo,515148,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515148
2026-09-05,Central Park,18:10,3,Scary Moll Dolls,515148,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515148
2026-09-05,Central Park,18:10,4,Pretty Epic,515148,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515148
2026-09-05,Central Park,18:10,5,Lively Gezza,515148,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515148
2026-09-05,Central Park,18:10,6,Savana Mai,515148,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515148
2026-09-05,Central Park,18:30,1,Saleen Belle,515149,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515149
2026-09-05,Central Park,18:30,2,Havana Pepsi,515149,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515149
2026-09-05,Central Park,18:30,3,Earls Jacqueline,515149,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515149
2026-09-05,Central Park,18:30,4,King Ringo,515149,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515149
2026-09-05,Central Park,18:30,5,Miss Puddy,515149,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515149
2026-09-05,Central Park,18:30,6,Barnora Kate,515149,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515149
2026-09-05,Central Park,18:50,1,Honey Cash,515150,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515150
2026-09-05,Central Park,18:50,2,Chic Le Freak,515150,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515150
2026-09-05,Central Park,18:50,3,Woodys Womble,515150,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515150
2026-09-05,Central Park,18:50,4,Wastehouse Kris,515150,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515150
2026-09-05,Central Park,18:50,5,Ask Julie,515150,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515150
2026-09-05,Central Park,18:50,6,Catunda Miley,515150,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515150
2026-09-05,Central Park,19:10,1,Francos Matt,515151,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515151
2026-09-05,Central Park,19:10,2,Westwood Gracie,515151,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515151
2026-09-05,Central Park,19:10,3,Speedy Delilah,515151,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515151
2026-09-05,Central Park,19:10,4,Speedy Uso,515151,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515151
2026-09-05,Central Park,19:10,5,Nineteen Bold,515151,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515151
2026-09-05,Central Park,19:10,6,Rocket Rose,515151,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515151
2026-09-05,Central Park,19:30,1,Catch My Girl,515152,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515152
2026-09-05,Central Park,19:30,2,Snowdon Mel,515152,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515152
2026-09-05,Central Park,19:30,3,Samba Blaze,515152,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515152
2026-09-05,Central Park,19:30,4,Bower Kerry,515152,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515152
2026-09-05,Central Park,19:30,5,No Nenono Yes,515152,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515152
2026-09-05,Central Park,19:30,6,Bluejig Jane,515152,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515152
2026-09-05,Central Park,19:50,1,Woodys Banga,515153,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515153
2026-09-05,Central Park,19:50,2,Poppadom Tom,515153,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515153
2026-09-05,Central Park,19:50,3,Swift Ellis,515153,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515153
2026-09-05,Central Park,19:50,4,Front Amara,515153,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515153
2026-09-05,Central Park,19:50,5,Ever So Thunder,515153,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515153
2026-09-05,Central Park,19:50,6,Windsor Beauty,515153,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515153
2026-09-05,Central Park,20:10,1,Insane Shenen,515154,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515154
2026-09-05,Central Park,20:10,2,Da Lynx Effect,515154,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515154
2026-09-05,Central Park,20:10,3,Speedy Simone,515154,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515154
2026-09-05,Central Park,20:10,4,Foxwood Dolly,515154,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515154
2026-09-05,Central Park,20:10,5,Insane Mariela,515154,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515154
2026-09-05,Central Park,20:10,6,Barnora Noel,515154,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515154
2026-09-05,Central Park,20:30,1,Foxwood Christy,515155,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515155
2026-09-05,Central Park,20:30,2,Bowes Hill Bocko,515155,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515155
2026-09-05,Central Park,20:30,3,Insane Gee Two,515155,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515155
2026-09-05,Central Park,20:30,4,Im Afraid Not,515155,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515155
2026-09-05,Central Park,20:30,5,Scarty Mel,515155,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515155
2026-09-05,Central Park,20:30,6,Swift What,515155,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515155
2026-09-05,Central Park,20:50,1,Savana Yahoo,515156,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-09-05/central-park/racecard/515156
