Provider,SelectionName,MarketType,StartTime,BetType,Size,MinPrice,MaxPrice,BSP
Daily Strategy Filter,Sporting Buchan,WIN,30/08/2026 18:42,LAY,1,4,100,FALSE
Daily Strategy Filter,Black Albatross,WIN,30/08/2026 19:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Inclement Magic,WIN,30/08/2026 20:24,LAY,1,4,100,FALSE
Daily Strategy Filter,Private Kevin,WIN,30/08/2026 20:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Swift Hooley,WIN,30/08/2026 20:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Hazelgrove Amani,WIN,30/08/2026 20:59,LAY,1,4,100,FALSE
Daily Strategy Filter,De Girl Annie,WIN,30/08/2026 21:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Dromulton Dream,WIN,30/08/2026 11:09,LAY,1,9,100,FALSE
Daily Strategy Filter,Abbys Hope,WIN,30/08/2026 11:43,LAY,1,9,100,FALSE
Daily Strategy Filter,Market Lough,WIN,30/08/2026 12:51,LAY,1,9,100,FALSE
Daily Strategy Filter,Timahoe Shark,WIN,30/08/2026 13:08,LAY,1,9,100,FALSE
Daily Strategy Filter,Debbies Hope,WIN,30/08/2026 13:42,LAY,1,9,100,FALSE
Daily Strategy Filter,Makeit Nissan,WIN,30/08/2026 14:36,LAY,1,4,100,FALSE
Daily Strategy Filter,Salacres Pip,WIN,30/08/2026 15:51,LAY,1,4,100,FALSE
Daily Strategy Filter,Fabulous Miley,WIN,30/08/2026 16:09,LAY,1,4,100,FALSE
Daily Strategy Filter,Fabulous Tamiko,WIN,30/08/2026 16:09,LAY,1,4,100,FALSE
Daily Strategy Filter,Salacresgovernor,WIN,30/08/2026 16:09,LAY,1,4,100,FALSE
Daily Strategy Filter,Fabulous Giulia,WIN,30/08/2026 16:47,LAY,1,4,100,FALSE
Daily Strategy Filter,Girl From Golden,WIN,30/08/2026 18:02,LAY,1,4,100,FALSE
Daily Strategy Filter,Fabulous Capri,WIN,30/08/2026 18:02,LAY,1,4,100,FALSE
Daily Strategy Filter,Burkos Bonnie,WIN,30/08/2026 10:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Scotrath Buck,WIN,30/08/2026 10:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Canya Jake,WIN,30/08/2026 10:57,LAY,1,4,100,FALSE
Daily Strategy Filter,Mohican Bale,WIN,30/08/2026 11:13,LAY,1,4,100,FALSE
Daily Strategy Filter,Grovenor Anna,WIN,30/08/2026 11:29,LAY,1,4,100,FALSE
Daily Strategy Filter,Bensons Boone,WIN,30/08/2026 11:45,LAY,1,4,100,FALSE
Daily Strategy Filter,Ashway Diva,WIN,30/08/2026 12:04,LAY,1,4,100,FALSE
Daily Strategy Filter,Glory Goodtime,WIN,30/08/2026 12:04,LAY,1,4,100,FALSE
Daily Strategy Filter,Ballymac Kuro,WIN,30/08/2026 12:21,LAY,1,4,100,FALSE
Daily Strategy Filter,Hawkfield Tiktok,WIN,30/08/2026 12:38,LAY,1,4,100,FALSE
Daily Strategy Filter,Epic Evelyn,WIN,30/08/2026 12:38,LAY,1,4,100,FALSE
Daily Strategy Filter,Anglesey Prime,WIN,30/08/2026 12:54,LAY,1,4,100,FALSE
Daily Strategy Filter,Ivys Holly,WIN,30/08/2026 12:54,LAY,1,4,100,FALSE
Daily Strategy Filter,Crokers Dawn,WIN,30/08/2026 13:29,LAY,1,4,100,FALSE
Daily Strategy Filter,Sharkeys Slough,WIN,30/08/2026 13:29,LAY,1,4,100,FALSE
Daily Strategy Filter,Enchanted Blaze,WIN,30/08/2026 13:47,LAY,1,4,100,FALSE
Daily Strategy Filter,Roseberry Beanri,WIN,30/08/2026 13:47,LAY,1,4,100,FALSE
Daily Strategy Filter,Bedazzled Bullet,WIN,30/08/2026 14:07,LAY,1,6,50,FALSE
Daily Strategy Filter,Now Listen Honey,WIN,30/08/2026 14:07,LAY,1,6,50,FALSE
