Date,Track,RaceTime,RaceID,RaceURL,Distance,Grade,AnalystVerdict1,AnalystVerdict2,AnalystVerdict3,AnalystNarrative,BettingForecast,SmartStats,Status,Issues
2026-09-23,Doncaster,14:33,1404607,https://www.timeform.com/greyhound-racing/racecards/doncaster/1433/2026-09-23/1404607,275m,D3,Cockneys Elsa,Romantic Dano,Avongate Queen,Cockneys Elsa continues in form and could be difficult to catch. Romantic Dano can beat the rest.,"6/4 Cockneys Elsa, 3/1 Romantic Dano, 3/1 Avongate Queen, 9/2 Harlequin Zippy, 11/2 Active Hill",Bet →,COMPLETE,
2026-09-23,Doncaster,14:52,1404608,https://www.timeform.com/greyhound-racing/racecards/doncaster/1452/2026-09-23/1404608,275m,D2,Mia Jezabelle,Slaneyside Time,Archies Gamble,Mia Jezabelle looks marginally the best of this bunch but is likely to need to put in a trouble-free run. Archies Gamble can pick up the scraps.,"13/8 Mia Jezabelle, 9/4 Slaneyside Time, 4/1 Archies Gamble, 9/2 Maybe Sydney, 11/2 Crystal Bale",MAYBE SYDNEY Maybe Sydney has finished in the first two in 53.13% of races from this trap. Bet →,COMPLETE,
2026-09-23,Doncaster,15:11,1404609,https://www.timeform.com/greyhound-racing/racecards/doncaster/1511/2026-09-23/1404609,275m,D4,Another Ace,Savana Trike,Glens Lucky Dip,Another Ace has been running really well lately and has obvious claims. Savana Trike is likely to be in the mix as well.,"6/5 Another Ace, 6/4 Savana Trike, 9/2 Moss Tang Sally, 11/2 Glens Lucky Dip, 10/1 Cockneys Gunner",MOSS TANG SALLY Moss Tang Sally has won all its races if in front at the first bend. Bet →,COMPLETE,
2026-09-23,Doncaster,15:29,1404610,https://www.timeform.com/greyhound-racing/racecards/doncaster/1529/2026-09-23/1404610,275m,D3,Tommys Dolly,Tanny Jezabelle,Cockneys Zara,Tommys Dolly holds an advantage on the times and is difficult to oppose. Tanny Jezabelle is up there on the shortlist too.,"13/8 Tanny Jezabelle, 15/8 Tommys Dolly, 11/4 Cockneys Zara, 9/2 Cockney Tan, 12/1 Panaroma",TANNY JEZABELLE Tanny Jezabelle has won only 62.50% of races after leading at the fourth bend. Bet →,COMPLETE,
2026-09-23,Doncaster,15:49,1404611,https://www.timeform.com/greyhound-racing/racecards/doncaster/1549/2026-09-23/1404611,450m,B2,Keady Cashout,Keady Storm,Transfer Girl,Keady Cashout has been operating at a good level lately and just about gets the nod in this line up. Keady Storm is up there on the shortlist too.,"13/8 Keady Cashout, 11/4 Keady Storm, 4/1 Late Lola, 4/1 Transfer Girl, 4/1 Good Lossie",LATE LOLA Late Lola has won only 54.55% of races after leading at the fourth bend. Bet →,COMPLETE,
2026-09-23,Doncaster,16:07,1404612,https://www.timeform.com/greyhound-racing/racecards/doncaster/1607/2026-09-23/1404612,275m,D4,Sparta Knight,Hugo Jezabelle,Rapido Ramona,Sparta Knight looks to have narrowly the best credentials but prospects might have to depend on avoiding trouble. Hugo Jezabelle looks best poised to take advantage if the selection falters.,"6/4 Sparta Knight, 5/2 Hugo Jezabelle, 7/2 Rapido Ramona, 4/1 Railteen Sarah, 13/2 Glitter Ronnie",HUGO JEZABELLE Hugo Jezabelle has won only 60% of races after leading at the third bend. Bet →,COMPLETE,
2026-09-23,Doncaster,16:26,1404613,https://www.timeform.com/greyhound-racing/racecards/doncaster/1626/2026-09-23/1404613,450m,B3,Savana Sandy,Tommys Flavour,Gethoffame,Savana Sandy has run plenty of good races recently and is the one they all have to beat. Tommys Flavour can pick up the scraps.,"7/4 Savana Sandy, 2/1 Tommys Flavour, 7/2 Gethoffame, 11/2 Comer Penny, 13/2 Seabrooke",COMER PENNY Comer Penny has won only 61.29% of races after leading at the fourth bend. Bet →,COMPLETE,
2026-09-23,Doncaster,16:44,1404614,https://www.timeform.com/greyhound-racing/racecards/doncaster/1644/2026-09-23/1404614,450m,B6,Glitter Cooky,Ballymac Nellie,Excuse The Mess,Glitter Cooky only just appeals most of this bunch but prospects might have to depend on luck in running. Ballymac Nellie seems likely to play second fiddle to the selection.,"7/4 Glitter Cooky, 11/5 Ballymac Nellie, 11/4 Excuse The Mess, 7/2 Gordons Bennett, 10/1 Amazing Emperor",BALLYMAC NELLIE Ballymac Nellie has finished in the first two in 11.76% of races from this class. Bet →,COMPLETE,
2026-09-23,Doncaster,17:03,1404615,https://www.timeform.com/greyhound-racing/racecards/doncaster/1703/2026-09-23/1404615,450m,B5,Flosses Fendi,Cockney King Kev,Zari Hunter,Flosses Fendi is easily the fastest of these and is well up to winning this readily. Cockney King Kev should come out best of the rest.,"7/4 Flosses Fendi, 15/8 Cockney King Kev, 7/2 Zari Hunter, 4/1 Please Ailbhe, 13/2 Lizzy Jezabelle",FLOSSES FENDI Flosses Fendi has the early speed to be at least 3 or more lengths clear at the sectional point. Bet →,COMPLETE,
2026-09-23,Dunstall Park,18:08,1404583,https://www.timeform.com/greyhound-racing/racecards/dunstall-park/1808/2026-09-23/1404583,480m,A8,Devilgate Lass,Flyhigh Birdseye,Ballymac Arbac,Devilgate Lass continues to run operate somewhere near current best and has a fair chance. Flyhigh Birdseye can emerge second best.,"6/4 Devilgate Lass, 5/2 Flyhigh Birdseye, 11/4 Ballymac Arbac, 7/2 Brosna Pine, 16/1 Rathsilla Gizmo, 50/1 Flyhigh Pebbles",DEVILGATE LASS Devilgate Lass has won only 33.33% of races after leading at the second bend. Bet →,COMPLETE,
2026-09-23,Dunstall Park,18:26,1404584,https://www.timeform.com/greyhound-racing/racecards/dunstall-park/1826/2026-09-23/1404584,270m,D2,Noels Wizard,Klassical Rog,Ballyard Nell,Noels Wizard's recent starts have been likeable in general and should prove hard to catch. Ballyard Nell looks cast for a lead supporting role.,"15/8 Noels Wizard, 11/4 Klassical Rog, 4/1 Ballyard Nell, 6/1 Miss Milo, 6/1 Regent Sky, 19/2 Klassical Davy",REGENT SKY Regent Sky has won 16.67% of races despite being in the last pair at the first bend. Bet →,COMPLETE,
2026-09-23,Dunstall Park,18:42,1404585,https://www.timeform.com/greyhound-racing/racecards/dunstall-park/1842/2026-09-23/1404585,480m,A2,Ballymac Fintan,Colliers Run,Moyar King,Ballymac Fintan has put together a impressive string of efforts recently and has prime claims. Bower Linda is likely to be thereabouts as well.,"3/1 Bower Linda, 3/1 Ballymac Fintan, 100/30 Moyar King, 4/1 Colliers Run, 6/1 Timahoe Rocky, 8/1 Basaljett",COLLIERS RUN Colliers Run has finished in the first two in 50% of races from this class. Bet →,COMPLETE,
