Date,Track,RaceTime,RaceID,RaceURL,Distance,Grade,AnalystVerdict1,AnalystVerdict2,AnalystVerdict3,AnalystNarrative,BettingForecast,SmartStats,Status,Issues
2026-09-14,Central Park,14:36,1402454,https://www.timeform.com/greyhound-racing/racecards/central-park/1436/2026-09-14/1402454,277m,D2,Dark Rosa,Vicious Amanda,Mikeys Rudy,Dark Rosa has an edge on on expected final time and has a fair chance of making all. Vicious Amanda can emerge second best.,"9/4 Dark Rosa, 11/4 Vicious Amanda, 7/2 Greatdown Lad, 11/2 Mikeys Rudy, 8/1 Luminous Daisy, 19/2 Cronody Versa",GREATDOWN LAD Greatdown Lad has won all its races if in front at the second bend. Bet →,COMPLETE,
2026-09-14,Central Park,14:54,1402455,https://www.timeform.com/greyhound-racing/racecards/central-park/1454/2026-09-14/1402455,277m,D3,Russmur Sabbath,Cyclers Storm,Financial Ruin,Russmur Sabbath looks marginally the best of these but is likely to need to put in a trouble-free round. Financial Ruin has the best prospects of the rest.,"4/6 Cyclers Storm, 3/1 Russmur Sabbath, 7/2 Financial Ruin, 15/2 Five Alley Skye, 17/2 Samba Matt",Bet →,COMPLETE,
2026-09-14,Central Park,15:13,1402456,https://www.timeform.com/greyhound-racing/racecards/central-park/1513/2026-09-14/1402456,277m,D5,Savana Tonka,Trudys Princess,Scilly Paris,Savana Tonka is running well enough to take this but could need a clear passage to run out the winner. Trudys Princess should also go close.,"7/4 Savana Tonka, 3/1 Trudys Princess, 7/2 Welsun Kid, 7/2 Scilly Paris, 15/2 Kajoruns Sid",KAJORUNS SID Kajoruns Sid has finished in the first two in 11.11% of races from this class. Bet →,COMPLETE,
2026-09-14,Central Park,15:32,1402457,https://www.timeform.com/greyhound-racing/racecards/central-park/1532/2026-09-14/1402457,491m,A2,Ballyhimikin Joe,Bombay Boss,Knockroe Lucy,Ballyhimikin Joe has run plenty of good races recently and is the one they all have to beat. Bombay Boss can pick up the pieces.,"5/4 Ballyhimikin Joe, 5/2 Coolside Spyman, 4/1 Knockroe Lucy, 9/2 Bombay Boss, 6/1 Beach Holiday",BEACH HOLIDAY Beach Holiday has won only 66.67% of races after leading at the fourth bend. Bet →,COMPLETE,
2026-09-14,Central Park,15:51,1402458,https://www.timeform.com/greyhound-racing/racecards/central-park/1551/2026-09-14/1402458,277m,D1,Front Shani,Blue Drout,Murdaniel Fin,Front Shani has largely been running well and is just about the pick in this line up. Blue Drout should chase the winner home.,"3/1 Blue Drout, 100/30 Front Shani, 4/1 Murdaniel Fin, 9/2 Coillbhui Nora, 9/2 Quivers Amaze, 13/2 Savana Pluto",QUIVERS AMAZE Quivers Amaze has won only 50% of races after leading at the fourth bend. Bet →,COMPLETE,
2026-09-14,Central Park,16:09,1402459,https://www.timeform.com/greyhound-racing/racecards/central-park/1609/2026-09-14/1402459,491m,A4,Waikiki Stone,Peakys Doll,Relevance,Waikiki Stone continues to run well and has fair claims. Peakys Doll is also likely to be in the mix.,"9/4 Peakys Doll, 3/1 Relevance, 100/30 Waikiki Stone, 9/2 Harlequin Flick, 5/1 Roseville Comet, 14/1 Savana Georgia",ROSEVILLE COMET Roseville Comet has won all its races if in front at the fourth bend. Bet →,COMPLETE,
2026-09-14,Central Park,16:28,1402460,https://www.timeform.com/greyhound-racing/racecards/central-park/1628/2026-09-14/1402460,277m,D4,Canal River,Cronody Hendrika,Rosstemple Chase,Canal River is the fastest in this line up and sets a good standard on the clock. Cronody Hendrika heads the short list for second.,"5/4 Canal River, 3/1 Rosstemple Chase, 100/30 Cronody Hendrika, 4/1 Deelish Millie, 14/1 Free Derry, 14/1 Ebony Trend",FREE DERRY B G Backhurst has a 25% winning strike rate in the last 7 days. Bet →,COMPLETE,
2026-09-14,Central Park,16:47,1402461,https://www.timeform.com/greyhound-racing/racecards/central-park/1647/2026-09-14/1402461,491m,A2,Lets Go Johnny,Ocean Summer,Robinsons Clan,Lets Go Johnny has generally been running well and is just about the pick in this field. Ocean Summer should also give a good account.,"11/8 Ocean Summer, 13/8 Lets Go Johnny, 4/1 Robinsons Clan, 5/1 Bucks Queen, 10/1 Lemon Luna",LETS GO JOHNNY Lets Go Johnny has finished in the first two in 16.67% of races from this trap. Bet →,COMPLETE,
2026-09-14,Central Park,17:06,1402462,https://www.timeform.com/greyhound-racing/racecards/central-park/1706/2026-09-14/1402462,277m,D3,Smooth As Satin,Front Layyah,Innfield Speed,Smooth As Satin is probably the best recommendation but could need a clear passage to come home first. Front Layyah looks the likeliest to chase the winner home.,"15/8 Smooth As Satin, 11/4 Front Layyah, 4/1 Innfield Speed, 4/1 Ferndale Free, 5/1 Hollyhill Melody",SMOOTH AS SATIN Smooth As Satin has won only 36.36% of races after leading at the second bend. Bet →,COMPLETE,
2026-09-14,Central Park,17:24,1402463,https://www.timeform.com/greyhound-racing/racecards/central-park/1724/2026-09-14/1402463,491m,A3,Swervetheissue,Harlequin Missy,Grouchos Bogger,Swervetheissue looks to have marginally the best claims but might well need a clear passage to run out the winner. Harlequin Missy will be on the premises too.,"9/4 Harlequin Missy, 11/4 Swervetheissue, 100/30 Whoopwhoop Molly, 7/2 Blossomfort Coco, 11/2 Grouchos Bogger",HARLEQUIN MISSY Harlequin Missy overcame trouble in running to win last time. Bet →,COMPLETE,
2026-09-14,Central Park,17:43,1402464,https://www.timeform.com/greyhound-racing/racecards/central-park/1743/2026-09-14/1402464,491m,A3,Proud Warrior,Roseville Chic,Chloes Lexie,Proud Warrior's overall form puts in it the frame but will need to avoid any trouble. Roseville Chic is favourite to play the lead supporting role.,"2/1 Roseville Chic, 2/1 Proud Warrior, 100/30 Getup Me Champ, 100/30 Chloes Lexie, 17/2 Harlequin Windy",HARLEQUIN WINDY Harlequin Windy has run to form in 6 of its last 10 races in last 60 days. Bet →,COMPLETE,
