Date,Track,RaceTime,RaceID,RaceURL,Distance,Grade,AnalystVerdict1,AnalystVerdict2,AnalystVerdict3,AnalystNarrative,BettingForecast,SmartStats,Status,Issues
2026-09-06,Doncaster,10:32,1400371,https://www.timeform.com/greyhound-racing/racecards/doncaster/1032/2026-09-06/1400371,275m,D2,Makeit Whisper,Another Phoenix,Archies Gamble,Makeit Whisper only just appeals most in this field but prospects might have to depend on getting a clear run. Another Phoenix would be our other pick.,"7/4 Makeit Whisper, 100/30 Another Phoenix, 4/1 Hes Got Style, 4/1 Jazza Darcy, 9/2 Archies Gamble",ANOTHER PHOENIX Another Phoenix has won only 47.06% of races after leading at the fourth bend. Bet →,COMPLETE,
2026-09-06,Doncaster,10:48,1400372,https://www.timeform.com/greyhound-racing/racecards/doncaster/1048/2026-09-06/1400372,450m,B1,Droopys Freebie,Put Things Right,Reenaderry Road,Droopys Freebie holds an advantage timewise and is going to be very tough to beat. Put Things Right looks the likeliest to chase the winner home.,"7/4 Droopys Freebie, 5/2 Put Things Right, 7/2 Reenaderry Road, 7/2 Rebel Eclipse, 11/2 Miller Spirit",MILLER SPIRIT Miller Spirit has won 10.26% of races despite being in the last pair at the second bend. Bet →,COMPLETE,
2026-09-06,Doncaster,11:04,1400373,https://www.timeform.com/greyhound-racing/racecards/doncaster/1104/2026-09-06/1400373,450m,B3,Kanturk Bella,Ruffian Floss,Millhouse Ian,Kanturk Bella has largely been running well and is just about the pick in this line up. Ruffian Floss should chase the winner home.,"10/11 Kanturk Bella, 5/2 Ruffian Floss, 4/1 Millhouse Ian, 6/1 Baytown Barbie, 7/1 Water Diviner",KANTURK BELLA Kanturk Bella has won 80% of races if in front at the second bend. Bet →,COMPLETE,
2026-09-06,Doncaster,11:21,1400374,https://www.timeform.com/greyhound-racing/racecards/doncaster/1121/2026-09-06/1400374,275m,D2,Kanturk Signet,Shackelton Ace,Luminous Dream,Kanturk Signet has been hard to fault in recent runs and just about gets the nod in this company. Shackelton Ace is likely to be on the premises too.,"9/4 Shackelton Ace, 9/4 Kanturk Signet, 3/1 Redbrick Daisy, 4/1 Luminous Dream, 13/2 Aghaburren Milly",LUMINOUS DREAM S Watson has a 35.71% winning strike rate in the last 7 days. Bet →,COMPLETE,
2026-09-06,Doncaster,11:38,1400375,https://www.timeform.com/greyhound-racing/racecards/doncaster/1138/2026-09-06/1400375,450m,B2,No Coverage,Ballinderry Luna,Mossend Chip,No Coverage's recent runs have had a lot to like about them and should prove hard to catch. Ballinderry Luna is favourite to play the lead supporting role.,"6/4 No Coverage, 11/4 Mossend Chip, 3/1 Ballinderry Luna, 9/2 Grouchos Queen, 6/1 Knockdrum Crypto",BALLINDERRY LUNA S Watson has a 35.71% winning strike rate in the last 7 days. Bet →,COMPLETE,
2026-09-06,Doncaster,11:54,1400376,https://www.timeform.com/greyhound-racing/racecards/doncaster/1154/2026-09-06/1400376,275m,D3,Leahs Pat,Jazza Belle,Ballyrobin Liz,Leahs Pat looks marginally the best of this bunch but is likely to need to put in a trouble-free round. Jazza Belle can pick up the pieces.,"5/4 Leahs Pat, 5/2 Jazza Belle, 9/2 Ballyrobin Liz, 13/2 Romantic Geezer, 8/1 Panaroma, 12/1 Cockneys Gals",PANAROMA Panaroma has won only 40% of races after leading at the second bend. Bet →,COMPLETE,
2026-09-06,Doncaster,12:12,1400377,https://www.timeform.com/greyhound-racing/racecards/doncaster/1212/2026-09-06/1400377,450m,B3,Dark Eddie,Ferryforth Axel,Real Gone Kid,Dark Eddie is well drawn and should prove hard to catch. Real Gone Kid is likeliest to play second fiddle to the selection.,"100/30 Dark Eddie, 100/30 Ferryforth Axel, 4/1 Greenhill Mac, 9/2 Real Gone Kid, 5/1 Ruffian Kimber, 11/2 Approaching Dawn",GREENHILL MAC Greenhill Mac has the time to be at least 1 length behind at the sectional point. Bet →,COMPLETE,
2026-09-06,Doncaster,12:29,1400378,https://www.timeform.com/greyhound-racing/racecards/doncaster/1229/2026-09-06/1400378,275m,D2,Qwerty,Jazza Rooney,Azeman,Qwerty's recent efforts have been likeable on the whole and should give it a good go. Jazza Rooney will have run well to finish second.,"11/5 Jazza Rooney, 5/2 Qwerty, 3/1 Azeman, 100/30 Tullycanna Lass, 15/2 Grouchos Davy",AZEMAN Azeman overcame trouble in running to win last time. Bet →,COMPLETE,
2026-09-06,Hove,14:23,1400625,https://www.timeform.com/greyhound-racing/racecards/hove/1423/2026-09-06/1400625,500m,A6,Alright Grace,Speedy Sadie,Yougo Finn,Alright Grace looks to have narrowly the best credentials but prospects might have to depend on avoiding trouble. Speedy Sadie looks best poised to take advantage if the selection falters.,"15/8 Alright Grace, 11/4 Speedy Sadie, 3/1 Yougo Finn, 6/1 Ashwood Shelby, 10/1 Droopys Bafta, 12/1 Kopreus",SPEEDY SADIE Speedy Sadie has won 16.67% of races despite being in the last pair at the first bend. Bet →,COMPLETE,
2026-09-06,Hove,14:41,1400626,https://www.timeform.com/greyhound-racing/racecards/hove/1441/2026-09-06/1400626,500m,A4,Amazing Force,Slingshot Coisty,Pips Gamble,Amazing Force stands out on expected final time and will be hard to beat. Slingshot Coisty looks second best in this contest.,"11/8 Amazing Force, 3/1 Slingshot Coisty, 3/1 Pips Gamble, 11/2 Spiritual Gift, 7/1 Droopys Runaway",DROOPYS RUNAWAY Droopys Runaway has won all its races if in front at the second bend. Bet →,COMPLETE,
