Date,Track,RaceTime,RaceID,RaceURL,Distance,Grade,AnalystVerdict1,AnalystVerdict2,AnalystVerdict3,AnalystNarrative,BettingForecast,SmartStats,Status,Issues
2026-09-16,Harlow,18:46,1403185,https://www.timeform.com/greyhound-racing/racecards/harlow/1846/2026-09-16/1403185,415m,A6,Savana Heaven,Alno Sue,Gagas Merry,Savana Heaven has been hard to fault in recent starts and just about gets the nod in this company. Alno Sue is likely to be thereabouts too.,"15/8 Savana Heaven, 3/1 Alno Sue, 4/1 Gagas Merry, 9/2 Hawkfield Kopek, 5/1 Bouncy Jet",GAGAS MERRY Gagas Merry has won 75% of races if in front at the first bend. Bet →,COMPLETE,
2026-09-16,Harlow,19:04,1403186,https://www.timeform.com/greyhound-racing/racecards/harlow/1904/2026-09-16/1403186,238m,D4,Unlikely Maddie,Glasheen Zoey,Savana Sakari,Unlikely Maddie is just about up to taking this but can't afford to put a foot wrong. Glasheen Zoey is the one for the forecast.,"7/4 Unlikely Maddie, 7/2 Savana Sakari, 7/2 Glasheen Zoey, 9/2 Yo Magic, 13/2 Outdoor Tunnes, 12/1 Aim Two Please",YO MAGIC Yo Magic has won 60% of races if in front at the first bend. Bet →,COMPLETE,
2026-09-16,Harlow,19:24,1403187,https://www.timeform.com/greyhound-racing/racecards/harlow/1924/2026-09-16/1403187,415m,A7,Southwind Oz,Scrahan Cruiser,Divine Faith,Southwind Oz has been running well and is just about the pick in this field. Scrahan Cruiser seems sure to go well.,"6/4 Southwind Oz, 2/1 Scrahan Cruiser, 100/30 Divine Faith, 7/2 Good Rex, 12/1 Armintas Jet",SOUTHWIND OZ P S Rea has a 30.95% winning strike rate in the last 7 days. Bet →,COMPLETE,
2026-09-16,Harlow,19:42,1403188,https://www.timeform.com/greyhound-racing/racecards/harlow/1942/2026-09-16/1403188,238m,D5,Townsend Tonya,Savana Bueno,Mabels Ribbons,Townsend Tonya is just about best of these taking everything into account but can't afford to put a foot wrong. Savana Bueno is likely to go close too.,"5/2 Townsend Tonya, 7/2 Savana Bueno, 9/2 Mabels Ribbons, 9/2 Rings Ruby, 5/1 Naughty Liv, 11/2 Baran Brady",MABELS RIBBONS D R E Ellerker has a 28.57% winning strike rate in the last 7 days. Bet →,COMPLETE,
2026-09-16,Harlow,19:58,1403189,https://www.timeform.com/greyhound-racing/racecards/harlow/1958/2026-09-16/1403189,415m,A5,Doreens Ash,Old Fort Lakota,Dapper Cash,Doreens Ash looks to have more or less the best credentials but might well need a clear run to oblige. Old Fort Lakota won't be too far behind.,"7/4 Doreens Ash, 11/4 Old Fort Lakota, 3/1 Dapper Cash, 9/2 Crafty Hopscotch, 9/2 Baggins Lad",CRAFTY HOPSCOTCH Crafty Hopscotch has won all its races if in front at the first bend. Bet →,COMPLETE,
2026-09-16,Harlow,20:16,1403190,https://www.timeform.com/greyhound-racing/racecards/harlow/2016/2026-09-16/1403190,238m,D4,Savana Ohmy Jo,Savana Bridget,Early Pace,Savana Ohmy Jo looks to have just about the best credentials but might well need a clear passage to come home first. Savana Bridget can take second place.,"5/2 Savana Ohmy Jo, 11/4 Savana Bridget, 7/2 Canya Tick, 4/1 Early Pace, 9/2 Alohas Comet",CANYA TICK Canya Tick overcame trouble in running to win last time. Bet →,COMPLETE,
2026-09-16,Harlow,20:34,1403191,https://www.timeform.com/greyhound-racing/racecards/harlow/2034/2026-09-16/1403191,415m,A6,Leathems Bingo,Canya Queue,Dapper Dora,Leathems Bingo is very likely to clear these early and sets a very good standard. Canya Queue will be in the mix too.,"5/4 Leathems Bingo, 11/4 Dapper Dora, 100/30 Canya Queue, 13/2 Deelish Mack, 13/2 Spade Work",CANYA QUEUE Canya Queue overcame trouble in running to win last time. Bet →,COMPLETE,
2026-09-16,Harlow,20:52,1403192,https://www.timeform.com/greyhound-racing/racecards/harlow/2052/2026-09-16/1403192,238m,D5,Knockdrinna Java,Eire Queenie,Maybe Later,Knockdrinna Java is the pick on several recent efforts and should come home in front. Eire Queenie could well be best of the rest.,"9/4 Eire Queenie, 5/2 Knockdrinna Java, 4/1 Maybe Later, 13/2 Kilgarran Rub, 13/2 Perfecto Dupont, 15/2 Colrose Queen",MAYBE LATER Maybe Later has won only 50% of races after leading at the fourth bend. Bet →,COMPLETE,
2026-09-16,Harlow,21:09,1403193,https://www.timeform.com/greyhound-racing/racecards/harlow/2109/2026-09-16/1403193,415m,A7,Savana Maggiemay,Devil In A Dress,Doreens Poppy,Savana Maggiemay looks marginally the best in this field but is likely to need to put in a trouble-free round. Doreens Poppy appeals most of the remainder.,"5/2 Savana Maggiemay, 5/2 Devil In A Dress, 9/2 Hi Tonto, 11/2 Doreens Poppy, 11/2 Tagalong Ger, 9/1 Savana Max",DEVIL IN A DRESS Devil In A Dress has the early speed to be at least 1 length clear at the sectional point. Bet →,COMPLETE,
2026-09-16,Harlow,21:26,1403194,https://www.timeform.com/greyhound-racing/racecards/harlow/2126/2026-09-16/1403194,238m,D5,Bisto Rio,Howsyerday Dolly,Tyford Pet,Bisto Rio is probably the safest recommendation but could need a clear passage to come home in front. Howsyerday Dolly looks the likeliest to finish second.,"7/4 Slipalong Don, 11/5 Bisto Rio, 4/1 Howsyerday Dolly, 6/1 Tyford Pet, 8/1 Sister Peg, 22/1 Mcgregor",SLIPALONG DON P S Rea has a 30.95% winning strike rate in the last 7 days. Bet →,COMPLETE,
2026-09-16,Hove,14:23,1402663,https://www.timeform.com/greyhound-racing/racecards/hove/1423/2026-09-16/1402663,500m,A5,Daring Duchess,Clairekeith Dexi,Mustang Maverick,Daring Duchess is in great heart as recent times indicate and is well up to winning this. Clairekeith Dexi can pick up minor honours.,"11/8 Daring Duchess, 11/4 Clairekeith Dexi, 7/2 Mustang Maverick, 4/1 Uptown Lass, 6/1 Swift Vest",MUSTANG MAVERICK Mustang Maverick has won only 57.14% of races after leading at the third bend. Bet →,COMPLETE,
2026-09-16,Hove,14:41,1402664,https://www.timeform.com/greyhound-racing/racecards/hove/1441/2026-09-16/1402664,500m,A1,Wastehouse Mix,Seomra Benji,Avarua Herbie,Wastehouse Mix looks to have more or less the best credentials but might well need a clear run to oblige. Seomra Benji is one to consider for the forecast.,"13/8 Wastehouse Mix, 9/4 Seomra Benji, 100/30 Avarua Herbie, 4/1 Zenith Eze, 13/2 Ower Cracker",OWER CRACKER Ower Cracker has won 10% of races despite being in the last pair at the second bend. Bet →,COMPLETE,
2026-09-16,Hove,15:01,1402665,https://www.timeform.com/greyhound-racing/racecards/hove/1501/2026-09-16/1402665,500m,A8,Homework Diary,Elite Rose,Courancove Cat,Homework Diary looks marginally the pick of this bunch but might well need a clear passage to come home first. Courancove Cat is top of the shortlist for second.,"5/4 Homework Diary, 3/1 Elite Rose, 4/1 Courancove Cat, 4/1 Smashngrabpunk, 9/2 Chisem Toby",CHISEM TOBY Chisem Toby has won only 50% of races after leading at the third bend. Bet →,COMPLETE,
2026-09-16,Hove,15:19,1402666,https://www.timeform.com/greyhound-racing/racecards/hove/1519/2026-09-16/1402666,285m,D1,Millbank Buster,Mavis Minger,Bengals Champ,Millbank Buster has been in decent form of late and just about gets the nod in this field. Mavis Minger is taken for the forecast.,"5/2 Mavis Minger, 11/4 Millbank Buster, 7/2 Elite Liberty, 6/1 Bengals Champ, 13/2 Ambiguous, 13/2 Cloheena Boyce",AMBIGUOUS Ambiguous has won only 55.56% of races after leading at the third bend. Bet →,COMPLETE,
2026-09-16,Hove,15:38,1402667,https://www.timeform.com/greyhound-racing/racecards/hove/1538/2026-09-16/1402667,500m,A10,Sharp Surprise,Drive On Annie,Crohane Pearl,Sharp Surprise has a very good record from this box and is the one they all have to beat. Drive On Annie seems sure to go well.,"7/4 Sharp Surprise, 2/1 Drive On Annie, 3/1 Crohane Pearl, 11/2 Punk Rock Willow, 6/1 Fwesh Julie Rose",CROHANE PEARL G S Byford has a 37.50% winning strike rate in the last 7 days. Bet →,COMPLETE,
2026-09-16,Hove,15:57,1402668,https://www.timeform.com/greyhound-racing/racecards/hove/1557/2026-09-16/1402668,500m,A4,Jackpot Mpressiv,Coppice Zaya,Burrows Sonic,Jackpot Mpressiv is in top form right now and just about stands out in this line up. Coppice Zaya looks destined for second place.,"15/8 Coppice Zaya, 9/4 Burrows Sonic, 3/1 Jackpot Mpressiv, 5/1 Seomra Gobi, 11/2 Timeless Times",COPPICE ZAYA Coppice Zaya has won all its races if in front at the fourth bend. Bet →,COMPLETE,
2026-09-16,Hove,16:16,1402669,https://www.timeform.com/greyhound-racing/racecards/hove/1616/2026-09-16/1402669,500m,A7,We Try Again,Mad Mouse,Gigis Parachute,We Try Again has been hard to fault in recent runs and just about gets the nod in this company. Mad Mouse is likely to be thereabouts as well.,"2/1 Mad Mouse, 9/4 We Try Again, 3/1 Gigis Parachute, 3/1 Aeschylus, 9/1 Showjumper",GIGIS PARACHUTE Gigis Parachute has won 15% of races despite being in the last pair at the first bend. Bet →,COMPLETE,
2026-09-16,Hove,16:34,1402670,https://www.timeform.com/greyhound-racing/racecards/hove/1634/2026-09-16/1402670,285m,D3,Kates Honey,Small Boss,Kamikaze Star,Kates Honey is in decent form right now and looks the one they all have to beat. Small Boss should come out best of the rest.,"15/8 Kates Honey, 5/2 Small Boss, 11/4 Kamikaze Star, 7/2 Courty Ivy, 7/1 Dereks Pamela",DEREKS PAMELA R P Rees has a 25% winning strike rate in the last 7 days. Bet →,COMPLETE,
2026-09-16,Hove,16:53,1402671,https://www.timeform.com/greyhound-racing/racecards/hove/1653/2026-09-16/1402671,500m,A2,Moody Rudy,Jacktavern Mojo,Montalto Ranger,Moody Rudy has put together plenty of good efforts recently and has principal claims. Jacktavern Mojo is taken for the forecast.,"11/10 Moody Rudy, 7/2 Montalto Ranger, 7/2 Harlequin Libby, 7/2 Jacktavern Mojo, 11/2 Unlock The Ace",MOODY RUDY Moody Rudy has won all its races if in front at the first bend. Bet →,COMPLETE,
2026-09-16,Hove,17:12,1402672,https://www.timeform.com/greyhound-racing/racecards/hove/1712/2026-09-16/1402672,500m,A8,Yassoo Mell,Shinobi Gail,Ballymac Humilis,Yassoo Mell's recent efforts have had a lot to like about them and should give it a good go. Shinobi Gail looks second best in this race.,"11/5 Yassoo Mell, 9/4 Shinobi Gail, 5/2 Ballymac Humilis, 9/2 Cloheena Rodney, 11/2 Low Or High",BALLYMAC HUMILIS Ballymac Humilis has the time to be at least 2 lengths behind at the sectional point. Bet →,COMPLETE,
