Provider,SelectionName,MarketType,StartTime,BetType,Size,MinPrice,MaxPrice,BSP
Daily Strategy Filter,Harlequin Windy,WIN,22/08/2026 18:10,LAY,1,10,110,FALSE
Daily Strategy Filter,Hot Jackie,WIN,22/08/2026 18:30,LAY,1,10,110,FALSE
Daily Strategy Filter,Ever So Thunder,WIN,22/08/2026 18:50,LAY,1,10,110,FALSE
Daily Strategy Filter,Bowes Hill News,WIN,22/08/2026 19:10,LAY,1,10,110,FALSE
Daily Strategy Filter,Samba Blaze,WIN,22/08/2026 19:10,LAY,1,10,110,FALSE
Daily Strategy Filter,Glideaway Danny,WIN,22/08/2026 19:30,LAY,1,10,110,FALSE
Daily Strategy Filter,Bogger Cash,WIN,22/08/2026 19:50,LAY,1,10,110,FALSE
Daily Strategy Filter,Tassie Ted,WIN,22/08/2026 20:30,LAY,1,10,110,FALSE
Daily Strategy Filter,Mucky Murty,WIN,22/08/2026 20:30,LAY,1,10,110,FALSE
Daily Strategy Filter,Roseville Chic,WIN,22/08/2026 20:50,LAY,1,10,110,FALSE
Daily Strategy Filter,Calgray Flyer,WIN,22/08/2026 11:38,LAY,1,6,120,FALSE
Daily Strategy Filter,Coolruss Ronnie,WIN,22/08/2026 18:11,LAY,1,6,120,FALSE
Daily Strategy Filter,Fourpenny Gift,WIN,22/08/2026 19:42,LAY,1,6,120,FALSE
Daily Strategy Filter,Romeo Zone,WIN,22/08/2026 19:58,LAY,1,6,120,FALSE
Daily Strategy Filter,Parkview Tommy,WIN,22/08/2026 19:58,LAY,1,6,120,FALSE
Daily Strategy Filter,Grumpy Kevin,WIN,22/08/2026 20:16,LAY,1,6,120,FALSE
Daily Strategy Filter,Dunstein,WIN,22/08/2026 11:01,LAY,1,4,100,FALSE
Daily Strategy Filter,Bloos Bro Bugsy,WIN,22/08/2026 11:01,LAY,1,4,100,FALSE
Daily Strategy Filter,Zenith Dazzler,WIN,22/08/2026 11:18,LAY,1,4,100,FALSE
