Provider,SelectionName,MarketType,StartTime,BetType,Size,MinPrice,MaxPrice,BSP
Daily Strategy Filter,Five Alley Skye,WIN,07/09/2026 14:54,LAY,1,10,110,FALSE
Daily Strategy Filter,Stophers Dorito,WIN,07/09/2026 15:51,LAY,1,10,110,FALSE
Daily Strategy Filter,Knockroe Lucy,WIN,07/09/2026 17:24,LAY,1,10,110,FALSE
Daily Strategy Filter,Bucks Queen,WIN,07/09/2026 18:02,LAY,1,10,110,FALSE
Daily Strategy Filter,Ballymac Ivanna,WIN,07/09/2026 15:03,LAY,1,6,120,FALSE
Daily Strategy Filter,Mahomes,WIN,07/09/2026 16:56,LAY,1,6,120,FALSE
Daily Strategy Filter,Day Tripper,WIN,07/09/2026 10:32,LAY,1,12,100,FALSE
Daily Strategy Filter,Skinny Pete,WIN,07/09/2026 10:32,LAY,1,12,100,FALSE
Daily Strategy Filter,Dellser Nidge,WIN,07/09/2026 11:21,LAY,1,12,100,FALSE
Daily Strategy Filter,Headford Cooper,WIN,07/09/2026 11:54,LAY,1,12,100,FALSE
Daily Strategy Filter,Cofam Princess,WIN,07/09/2026 11:54,LAY,1,12,100,FALSE
Daily Strategy Filter,Shesgoodcompany,WIN,07/09/2026 12:29,LAY,1,12,100,FALSE
Daily Strategy Filter,Foxrock Buddy,WIN,07/09/2026 13:03,LAY,1,12,100,FALSE
Daily Strategy Filter,Foxrock Bell,WIN,07/09/2026 13:19,LAY,1,12,100,FALSE
Daily Strategy Filter,Classic Cindy,WIN,07/09/2026 13:54,LAY,1,12,100,FALSE
Daily Strategy Filter,Tasmanian Devil,WIN,07/09/2026 19:04,LAY,1,12,100,FALSE
Daily Strategy Filter,City Boss,WIN,07/09/2026 19:04,LAY,1,12,100,FALSE
Daily Strategy Filter,Cabriol Maggie,WIN,07/09/2026 20:34,LAY,1,12,100,FALSE
Daily Strategy Filter,Pro Flo,WIN,07/09/2026 20:34,LAY,1,12,100,FALSE
Daily Strategy Filter,Tommys Handful,WIN,07/09/2026 20:52,LAY,1,12,100,FALSE
Daily Strategy Filter,Mabels Ribbons,WIN,07/09/2026 21:26,LAY,1,12,100,FALSE
Daily Strategy Filter,Cazzers Bassey,WIN,07/09/2026 14:23,LAY,1,4,100,FALSE
Daily Strategy Filter,Pennylane Ya Ya,WIN,07/09/2026 14:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Alien Brat,WIN,07/09/2026 15:01,LAY,1,4,100,FALSE
Daily Strategy Filter,Whyaye Dubai,WIN,07/09/2026 15:01,LAY,1,4,100,FALSE
Daily Strategy Filter,Do Gooder,WIN,07/09/2026 15:19,LAY,1,4,100,FALSE
Daily Strategy Filter,Rushmoor Erney,WIN,07/09/2026 15:57,LAY,1,4,100,FALSE
Daily Strategy Filter,Bits And Bobs,WIN,07/09/2026 15:57,LAY,1,4,100,FALSE
Daily Strategy Filter,Return Fire,WIN,07/09/2026 16:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Newinn Giggles,WIN,07/09/2026 16:34,LAY,1,4,100,FALSE
Daily Strategy Filter,Youre Gone,WIN,07/09/2026 16:53,LAY,1,4,100,FALSE
Daily Strategy Filter,Aero Stormrage,WIN,07/09/2026 17:12,LAY,1,4,100,FALSE
Daily Strategy Filter,Ballymac Bardo,WIN,07/09/2026 17:12,LAY,1,4,100,FALSE
Daily Strategy Filter,Yama Darlin,WIN,07/09/2026 17:31,LAY,1,4,100,FALSE
Daily Strategy Filter,Roanna Ash,WIN,07/09/2026 20:01,LAY,1,1.01,100,FALSE
Daily Strategy Filter,Linton Lucy,WIN,07/09/2026 14:29,LAY,1,9,100,FALSE
Daily Strategy Filter,Level Dubai,WIN,07/09/2026 16:03,LAY,1,9,100,FALSE
Daily Strategy Filter,Foulkscourtstorm,WIN,07/09/2026 18:08,LAY,1,4,100,FALSE
Daily Strategy Filter,Antigua Burn,WIN,07/09/2026 18:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Essex Abbie,WIN,07/09/2026 18:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Twominutes Ellie,WIN,07/09/2026 18:59,LAY,1,4,100,FALSE
Daily Strategy Filter,Moredramakirstie,WIN,07/09/2026 18:59,LAY,1,4,100,FALSE
Daily Strategy Filter,Arrigle Blue,WIN,07/09/2026 19:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Dublin Jimmy,WIN,07/09/2026 19:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Hitthelids Mateo,WIN,07/09/2026 20:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Salacres Frankie,WIN,07/09/2026 20:59,LAY,1,4,100,FALSE
Daily Strategy Filter,Fifis Lad,WIN,07/09/2026 20:59,LAY,1,4,100,FALSE
Daily Strategy Filter,Charter Billy,WIN,07/09/2026 21:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Rowington Ruse,WIN,07/09/2026 21:16,LAY,1,4,100,FALSE
