Provider,SelectionName,MarketType,StartTime,BetType,Size,MinPrice,MaxPrice,BSP
Daily Strategy Filter,Eire Eddie,WIN,20/08/2026 14:23,LAY,1,10,110,FALSE
Daily Strategy Filter,Frainey Towbar,WIN,20/08/2026 14:23,LAY,1,10,110,FALSE
Daily Strategy Filter,Dunbolg Express,WIN,20/08/2026 15:01,LAY,1,10,110,FALSE
Daily Strategy Filter,Da Prophet,WIN,20/08/2026 16:16,LAY,1,10,110,FALSE
Daily Strategy Filter,Bellmore Ozzy,WIN,20/08/2026 11:30,LAY,1,4,100,FALSE
Daily Strategy Filter,Black Albatross,WIN,20/08/2026 12:03,LAY,1,4,100,FALSE
Daily Strategy Filter,Lightfoot Elle,WIN,20/08/2026 12:37,LAY,1,4,100,FALSE
Daily Strategy Filter,Ballymac Alyssa,WIN,20/08/2026 12:37,LAY,1,4,100,FALSE
Daily Strategy Filter,Raise The Beat,WIN,20/08/2026 12:53,LAY,1,4,100,FALSE
Daily Strategy Filter,Grumpy Frankie,WIN,20/08/2026 13:11,LAY,1,4,100,FALSE
Daily Strategy Filter,Swift Hooley,WIN,20/08/2026 13:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Scotrath Kiki,WIN,20/08/2026 14:14,LAY,1,4,100,FALSE
Daily Strategy Filter,Youre Gone,WIN,20/08/2026 20:13,LAY,1,4,100,FALSE
Daily Strategy Filter,Titanium Annie,WIN,20/08/2026 20:13,LAY,1,4,100,FALSE
Daily Strategy Filter,Pennys Shadow,WIN,20/08/2026 20:31,LAY,1,4,100,FALSE
Daily Strategy Filter,Aero Annoy,WIN,20/08/2026 21:04,LAY,1,4,100,FALSE
Daily Strategy Filter,Tommys Snowman,WIN,20/08/2026 21:04,LAY,1,4,100,FALSE
Daily Strategy Filter,Borna Malina,WIN,20/08/2026 11:41,LAY,1,1.01,100,FALSE
Daily Strategy Filter,Honour Boomerang,WIN,20/08/2026 12:14,LAY,1,1.01,100,FALSE
Daily Strategy Filter,Kellies Jewel,WIN,20/08/2026 13:21,LAY,1,1.01,100,FALSE
Daily Strategy Filter,Flee From Gossip,WIN,20/08/2026 14:54,LAY,1,4,100,FALSE
Daily Strategy Filter,Lucky Sevens,WIN,20/08/2026 14:54,LAY,1,4,100,FALSE
Daily Strategy Filter,Makeit Myella,WIN,20/08/2026 15:13,LAY,1,4,100,FALSE
Daily Strategy Filter,Makeit Juice,WIN,20/08/2026 15:13,LAY,1,4,100,FALSE
Daily Strategy Filter,Maireads Duchess,WIN,20/08/2026 15:32,LAY,1,4,100,FALSE
Daily Strategy Filter,Catunda Stella,WIN,20/08/2026 15:51,LAY,1,4,100,FALSE
Daily Strategy Filter,Clongour Duo,WIN,20/08/2026 16:09,LAY,1,4,100,FALSE
Daily Strategy Filter,Makeit Dj,WIN,20/08/2026 16:09,LAY,1,4,100,FALSE
Daily Strategy Filter,Scooby Picasso,WIN,20/08/2026 16:28,LAY,1,4,100,FALSE
Daily Strategy Filter,Glengar Peppa,WIN,20/08/2026 16:47,LAY,1,4,100,FALSE
Daily Strategy Filter,Antigua Burn,WIN,20/08/2026 17:06,LAY,1,4,100,FALSE
Daily Strategy Filter,Dark Lady,WIN,20/08/2026 17:06,LAY,1,4,100,FALSE
Daily Strategy Filter,Swift One,WIN,20/08/2026 17:43,LAY,1,4,100,FALSE
Daily Strategy Filter,Coolree Blue,WIN,20/08/2026 17:34,LAY,1,4,100,FALSE
Daily Strategy Filter,Crokers Lisa,WIN,20/08/2026 21:09,LAY,1,4,100,FALSE
