date,track,race_time,runner_number,dog_name,strategy,StrategyMinPrice,StrategyMaxPrice,Distance,Grade,AnalystVerdictPosition,ForecastRank,ForecastFractional,ForecastDecimal,ForecastState,Status,ExclusionCategory,Reason
2026-08-20,Central Park,14:23,3,Eire Eddie,"UK LAY Central Park Trap 3,4",10,110,277m,D1,OUTSIDE_TOP3,6,8/1,9.0,OUTSIDE_TOP3,RETAINED,,
2026-08-20,Central Park,14:23,4,Frainey Towbar,"UK LAY Central Park Trap 3,4",10,110,277m,D1,OUTSIDE_TOP3,3,9/2,5.5,BOUNDARY_TIE,RETAINED,,Forecast tie crosses third-place boundary; retained absent stronger evidence
2026-08-20,Central Park,15:01,3,Speedy Uso,"UK LAY Central Park Trap 3,4",10,110,277m,D2,1,2,4/1,5.0,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-08-20,Central Park,15:01,4,Dunbolg Express,"UK LAY Central Park Trap 3,4",10,110,277m,D2,OUTSIDE_TOP3,5,11/2,6.5,OUTSIDE_TOP3,RETAINED,,
2026-08-20,Central Park,16:16,3,Footfield Betsy,"UK LAY Central Park Trap 3,4",10,110,277m,D4,1,2,11/4,3.75,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-08-20,Central Park,16:16,4,Da Prophet,"UK LAY Central Park Trap 3,4",10,110,277m,D4,OUTSIDE_TOP3,5,15/2,8.5,OUTSIDE_TOP3,RETAINED,,
2026-08-20,Central Park,16:53,3,Super Trick,"UK LAY Central Park Trap 3,4",10,110,277m,D2,OUTSIDE_TOP3,2,7/2,4.5,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 2, 7/2; decimal 4.50)"
2026-08-20,Central Park,16:53,4,Millbank Jasmine,"UK LAY Central Park Trap 3,4",10,110,277m,D2,1,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-08-20,Kinsley,11:14,5,Madam Tiger,"UK LAY Kinsley Trap 5,6",4,100,268m,D4,2,1,11/4,3.75,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-08-20,Kinsley,11:14,6,Scullys Eddie,"UK LAY Kinsley Trap 5,6",4,100,268m,D4,3,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-08-20,Kinsley,11:30,5,Grumpy Pip,"UK LAY Kinsley Trap 5,6",4,100,462m,A4,2,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-08-20,Kinsley,11:30,6,Bellmore Ozzy,"UK LAY Kinsley Trap 5,6",4,100,462m,A4,OUTSIDE_TOP3,6,7/1,8.0,OUTSIDE_TOP3,RETAINED,,
2026-08-20,Kinsley,11:46,5,Hazelgrove Raven,"UK LAY Kinsley Trap 5,6",4,100,462m,A6,2,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-08-20,Kinsley,11:46,6,Swift Paulina,"UK LAY Kinsley Trap 5,6",4,100,462m,A6,1,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-08-20,Kinsley,12:03,5,Rockstar Kenny,"UK LAY Kinsley Trap 5,6",4,100,462m,A8,3,5,13/2,7.5,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-08-20,Kinsley,12:03,6,Black Albatross,"UK LAY Kinsley Trap 5,6",4,100,462m,A8,OUTSIDE_TOP3,3,11/2,6.5,BOUNDARY_TIE,RETAINED,,Forecast tie crosses third-place boundary; retained absent stronger evidence
2026-08-20,Kinsley,12:37,5,Lightfoot Elle,"UK LAY Kinsley Trap 5,6",4,100,462m,HP,OUTSIDE_TOP3,4,4/1,5.0,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (4/1; decimal 5.00); retained absent converging danger evidence
2026-08-20,Kinsley,12:37,6,Ballymac Alyssa,"UK LAY Kinsley Trap 5,6",4,100,462m,HP,OUTSIDE_TOP3,5,13/2,7.5,OUTSIDE_TOP3,RETAINED,,
2026-08-20,Kinsley,12:53,5,Da Man Joey,"UK LAY Kinsley Trap 5,6",4,100,462m,A4,1,1,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-08-20,Kinsley,12:53,6,Raise The Beat,"UK LAY Kinsley Trap 5,6",4,100,462m,A4,OUTSIDE_TOP3,4,9/2,5.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (9/2; decimal 5.50); retained absent converging danger evidence
2026-08-20,Kinsley,13:11,5,Grumpy Frankie,"UK LAY Kinsley Trap 5,6",4,100,462m,A5,OUTSIDE_TOP3,5,11/2,6.5,OUTSIDE_TOP3,RETAINED,,
2026-08-20,Kinsley,13:11,6,Swift Ecology,"UK LAY Kinsley Trap 5,6",4,100,462m,A5,1,2,100/30,4.3333,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-08-20,Kinsley,13:26,5,Hello Lady,"UK LAY Kinsley Trap 5,6",4,100,462m,A5,2,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-08-20,Kinsley,13:26,6,Swift Hooley,"UK LAY Kinsley Trap 5,6",4,100,462m,A5,OUTSIDE_TOP3,4,9/2,5.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (9/2; decimal 5.50); retained absent converging danger evidence
2026-08-20,Kinsley,13:41,5,Cactus Closedown,"UK LAY Kinsley Trap 5,6",4,100,268m,D4,2,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-08-20,Kinsley,13:41,6,Clay Twister,"UK LAY Kinsley Trap 5,6",4,100,268m,D4,1,1,5/2,3.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-08-20,Kinsley,14:14,5,Mandeville Mist,"UK LAY Kinsley Trap 5,6",4,100,462m,A7,2,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
