date,track,race_time,runner_number,dog_name,strategy,StrategyMinPrice,StrategyMaxPrice,Distance,Grade,AnalystVerdictPosition,ForecastRank,ForecastFractional,ForecastDecimal,ForecastState,Status,ExclusionCategory,Reason
2026-09-08,Central Park,18:14,3,Ferndale Free,"UK LAY Central Park Trap 3,4",10,110,277m,D3,3,3,9/2,5.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-08,Central Park,18:14,4,Vicious Amanda,"UK LAY Central Park Trap 3,4",10,110,277m,D3,1,1,6/4,2.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-08,Central Park,20:47,3,Aero Spears,"UK LAY Central Park Trap 3,4",10,110,277m,D1,OUTSIDE_TOP3,6,12/1,13.0,OUTSIDE_TOP3,RETAINED,,
2026-09-08,Central Park,20:47,4,King Wilson,"UK LAY Central Park Trap 3,4",10,110,277m,D1,1,1,11/4,3.75,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-08,Monmore,15:09,2,Ropewalk Star,"UK LAY Monmore Trap 2,5,6",4,100,480m,A9,OUTSIDE_TOP3,5,17/2,9.5,OUTSIDE_TOP3,RETAINED,,
2026-09-08,Monmore,15:09,5,Countess Velvet,"UK LAY Monmore Trap 2,5,6",4,100,480m,A9,3,3,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-08,Monmore,15:09,6,Aces Choice,"UK LAY Monmore Trap 2,5,6",4,100,480m,A9,OUTSIDE_TOP3,6,19/2,10.5,OUTSIDE_TOP3,RETAINED,,
2026-09-08,Monmore,15:47,2,Snazzy Honey,"UK LAY Monmore Trap 2,5,6",4,100,480m,A3,3,4,4/1,5.0,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-08,Monmore,15:47,5,Whisky Hunter,"UK LAY Monmore Trap 2,5,6",4,100,480m,A3,1,3,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-08,Monmore,15:47,6,Ballymac Prada,"UK LAY Monmore Trap 2,5,6",4,100,480m,A3,OUTSIDE_TOP3,2,100/30,4.3333,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 2, 100/30; decimal 4.33)"
2026-09-08,Monmore,16:04,2,Tickets Bang,"UK LAY Monmore Trap 2,5,6",4,100,264m,D4,3,3,9/2,5.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-08,Monmore,16:04,5,Pay On Time,"UK LAY Monmore Trap 2,5,6",4,100,264m,D4,OUTSIDE_TOP3,6,17/2,9.5,OUTSIDE_TOP3,RETAINED,,
2026-09-08,Monmore,16:04,6,Swift Ramona,"UK LAY Monmore Trap 2,5,6",4,100,264m,D4,OUTSIDE_TOP3,4,5/1,6.0,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (5/1; decimal 6.00); retained absent converging danger evidence
2026-09-08,Monmore,16:42,2,Tullymurry India,"UK LAY Monmore Trap 2,5,6",4,100,264m,D1,1,1,9/4,3.25,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-08,Monmore,16:42,5,Tullymurry Ned,"UK LAY Monmore Trap 2,5,6",4,100,264m,D1,3,4,9/2,5.5,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-08,Monmore,16:42,6,Wanfourtoeknee,"UK LAY Monmore Trap 2,5,6",4,100,264m,D1,OUTSIDE_TOP3,6,12/1,13.0,OUTSIDE_TOP3,RETAINED,,
2026-09-08,Monmore,17:01,2,Mystical Cash,"UK LAY Monmore Trap 2,5,6",4,100,480m,A6,2,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-08,Monmore,17:01,5,Downmexicoway,"UK LAY Monmore Trap 2,5,6",4,100,480m,A6,3,3,9/2,5.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-08,Monmore,17:01,6,Sugar Girl Dotty,"UK LAY Monmore Trap 2,5,6",4,100,480m,A6,1,1,7/4,2.75,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-08,Monmore,17:37,2,Noruffsorscruffs,"UK LAY Monmore Trap 2,5,6",4,100,264m,D4,1,1,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-08,Monmore,17:37,5,Bundoran,"UK LAY Monmore Trap 2,5,6",4,100,264m,D4,OUTSIDE_TOP3,4,5/1,6.0,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (5/1; decimal 6.00); retained absent converging danger evidence
2026-09-08,Monmore,17:37,6,Remarkable Scamp,"UK LAY Monmore Trap 2,5,6",4,100,264m,D4,3,1,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-08,Monmore,17:57,2,Aero Mistake,"UK LAY Monmore Trap 2,5,6",4,100,480m,A9,OUTSIDE_TOP3,4,4/1,5.0,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (4/1; decimal 5.00); retained absent converging danger evidence
2026-09-08,Monmore,17:57,5,Bang On Bonnie,"UK LAY Monmore Trap 2,5,6",4,100,480m,A9,2,2,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-08,Monmore,17:57,6,Jimmytheconman,"UK LAY Monmore Trap 2,5,6",4,100,480m,A9,OUTSIDE_TOP3,6,8/1,9.0,OUTSIDE_TOP3,RETAINED,,
2026-09-08,Sunderland,18:37,4,Romantic Jake,UK LAY Sunderland Trap 4,9,100,450m,A4,OUTSIDE_TOP3,5,6/1,7.0,OUTSIDE_TOP3,RETAINED,,
2026-09-08,Sunderland,19:11,4,Canavans Corner,UK LAY Sunderland Trap 4,9,100,450m,A4,OUTSIDE_TOP3,3,7/2,4.5,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 3, 7/2; decimal 4.50)"
2026-09-08,Sunderland,19:44,4,Cantcallhimaero,UK LAY Sunderland Trap 4,9,100,450m,A7,2,2,5/2,3.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-08,Sunderland,20:01,4,Vegas Mo Chara,UK LAY Sunderland Trap 4,9,100,450m,A8,1,1,15/8,2.875,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-08,Sunderland,20:19,4,Mind Your Mind,UK LAY Sunderland Trap 4,9,100,261m,D1,OUTSIDE_TOP3,6,19/2,10.5,OUTSIDE_TOP3,RETAINED,,
2026-09-08,Sunderland,20:36,4,Rosstemple Ben,UK LAY Sunderland Trap 4,9,100,450m,A7,1,1,2/1,3.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-08,Towcester,18:26,1,Alright Maggie,"UK LAY Towcester Trap 1,5,6",4,100,500m,A6,1,2,4/1,5.0,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-08,Towcester,18:26,5,Ballycleary Bono,"UK LAY Towcester Trap 1,5,6",4,100,500m,A6,OUTSIDE_TOP3,2,4/1,5.0,BOUNDARY_TIE,RETAINED,,Forecast tie crosses third-place boundary; retained absent stronger evidence
2026-09-08,Towcester,18:26,6,Hitthelids Kaley,"UK LAY Towcester Trap 1,5,6",4,100,500m,A6,3,2,4/1,5.0,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-08,Towcester,18:42,1,Confey Blaze,"UK LAY Towcester Trap 1,5,6",4,100,270m,D4,OUTSIDE_TOP3,1,7/2,4.5,TOP3,EXCLUDED,FORECAST_TOP3,"Timeform Betting Forecast top 3 (rank 1, 7/2; decimal 4.50)"
2026-09-08,Towcester,18:42,5,Lamorna Marley,"UK LAY Towcester Trap 1,5,6",4,100,270m,D4,3,4,9/2,5.5,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-08,Towcester,18:42,6,Makeit Eddie,"UK LAY Towcester Trap 1,5,6",4,100,270m,D4,2,1,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-08,Towcester,18:59,1,Swift Undergo,"UK LAY Towcester Trap 1,5,6",4,100,460m,B4,1,2,100/30,4.3333,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
