Provider,SelectionName,MarketType,StartTime,BetType,Size,MinPrice,MaxPrice,BSP
Daily Strategy Filter,Scary Moll Dolls,WIN,11/09/2026 11:27,LAY,1,10,110,FALSE
Daily Strategy Filter,Westwood Gem,WIN,11/09/2026 12:34,LAY,1,10,110,FALSE
Daily Strategy Filter,Miami Eagle,WIN,11/09/2026 12:34,LAY,1,10,110,FALSE
Daily Strategy Filter,Speedy Uso,WIN,11/09/2026 13:08,LAY,1,10,110,FALSE
Daily Strategy Filter,Hollyoak Mercury,WIN,11/09/2026 13:26,LAY,1,10,110,FALSE
Daily Strategy Filter,Darley Devaletta,WIN,11/09/2026 14:14,LAY,1,10,110,FALSE
Daily Strategy Filter,Gooner Be Good,WIN,11/09/2026 10:32,LAY,1,12,100,FALSE
Daily Strategy Filter,Donegal Shane,WIN,11/09/2026 10:32,LAY,1,12,100,FALSE
Daily Strategy Filter,Crying Jonesy,WIN,11/09/2026 10:48,LAY,1,12,100,FALSE
Daily Strategy Filter,Moaning Mccoist,WIN,11/09/2026 11:04,LAY,1,12,100,FALSE
Daily Strategy Filter,Foxrock Alfie,WIN,11/09/2026 11:04,LAY,1,12,100,FALSE
Daily Strategy Filter,Traptoline Elena,WIN,11/09/2026 11:54,LAY,1,12,100,FALSE
Daily Strategy Filter,Day Tripper,WIN,11/09/2026 12:12,LAY,1,12,100,FALSE
Daily Strategy Filter,Syls Angel,WIN,11/09/2026 12:46,LAY,1,12,100,FALSE
Daily Strategy Filter,Bit Of Cover,WIN,11/09/2026 13:54,LAY,1,12,100,FALSE
Daily Strategy Filter,Cree Lullaby,WIN,11/09/2026 13:54,LAY,1,12,100,FALSE
Daily Strategy Filter,Spade Work,WIN,11/09/2026 18:11,LAY,1,12,100,FALSE
Daily Strategy Filter,Britbull Mafia,WIN,11/09/2026 19:24,LAY,1,12,100,FALSE
Daily Strategy Filter,Alohas Dream,WIN,11/09/2026 19:42,LAY,1,12,100,FALSE
Daily Strategy Filter,Dunnanelly Exit,WIN,11/09/2026 21:09,LAY,1,12,100,FALSE
Daily Strategy Filter,Jumbos Cairo,WIN,11/09/2026 21:26,LAY,1,12,100,FALSE
Daily Strategy Filter,Swift Qay,WIN,11/09/2026 14:29,LAY,1,4,100,FALSE
Daily Strategy Filter,Lundhill Alfie,WIN,11/09/2026 15:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Speedy Killeavy,WIN,11/09/2026 15:26,LAY,1,4,100,FALSE
Daily Strategy Filter,Canal View Blue,WIN,11/09/2026 16:03,LAY,1,4,100,FALSE
Daily Strategy Filter,Da Maureens Star,WIN,11/09/2026 17:18,LAY,1,4,100,FALSE
Daily Strategy Filter,Norden Girl,WIN,11/09/2026 17:37,LAY,1,4,100,FALSE
Daily Strategy Filter,Hitthebottleneil,WIN,11/09/2026 18:08,LAY,1,1.01,100,FALSE
Daily Strategy Filter,Lisnakill Donnie,WIN,11/09/2026 19:28,LAY,1,1.01,100,FALSE
Daily Strategy Filter,Sparta Pro,WIN,11/09/2026 20:08,LAY,1,1.01,100,FALSE
Daily Strategy Filter,Kellies Jewel,WIN,11/09/2026 20:28,LAY,1,1.01,100,FALSE
Daily Strategy Filter,Crafty Elmo,WIN,11/09/2026 21:28,LAY,1,1.01,100,FALSE
Daily Strategy Filter,Ballyhimikin Meg,WIN,11/09/2026 20:03,LAY,1,9,100,FALSE
Daily Strategy Filter,Romeo Vega,WIN,11/09/2026 20:23,LAY,1,9,100,FALSE
Daily Strategy Filter,Pomba Pauline,WIN,11/09/2026 21:43,LAY,1,9,100,FALSE
Daily Strategy Filter,Tommys Poncho,WIN,11/09/2026 14:41,LAY,1,4,100,FALSE
Daily Strategy Filter,Choices Jean,WIN,11/09/2026 15:19,LAY,1,4,100,FALSE
Daily Strategy Filter,Swift One,WIN,11/09/2026 15:57,LAY,1,4,100,FALSE
Daily Strategy Filter,Choices Bev,WIN,11/09/2026 16:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Daleroad Max,WIN,11/09/2026 16:16,LAY,1,4,100,FALSE
Daily Strategy Filter,Unknown Tulip,WIN,11/09/2026 16:34,LAY,1,4,100,FALSE
Daily Strategy Filter,Trapstyle Sneezy,WIN,11/09/2026 16:34,LAY,1,4,100,FALSE
Daily Strategy Filter,Salacres Cath,WIN,11/09/2026 16:53,LAY,1,4,100,FALSE
Daily Strategy Filter,Drohobych Falcon,WIN,11/09/2026 16:53,LAY,1,4,100,FALSE
Daily Strategy Filter,Dairyland Jimmy,WIN,11/09/2026 17:12,LAY,1,4,100,FALSE
Daily Strategy Filter,Makeit Power,WIN,11/09/2026 17:31,LAY,1,4,100,FALSE
Daily Strategy Filter,Young Sheldon,WIN,11/09/2026 17:31,LAY,1,4,100,FALSE
