date,track,race_time,runner_number,dog_name,strategy,StrategyMinPrice,StrategyMaxPrice,Distance,Grade,AnalystVerdictPosition,ForecastRank,ForecastFractional,ForecastDecimal,ForecastState,Status,ExclusionCategory,Reason
2026-09-11,Central Park,11:27,3,Scary Moll Dolls,"UK LAY Central Park Trap 3,4",10,110,277m,D2,OUTSIDE_TOP3,5,17/2,9.5,OUTSIDE_TOP3,RETAINED,,
2026-09-11,Central Park,11:27,4,Silver Medal,"UK LAY Central Park Trap 3,4",10,110,277m,D2,3,3,7/2,4.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-11,Central Park,12:34,3,Westwood Gem,"UK LAY Central Park Trap 3,4",10,110,491m,A2,OUTSIDE_TOP3,4,6/1,7.0,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (6/1; decimal 7.00); retained absent converging danger evidence
2026-09-11,Central Park,12:34,4,Miami Eagle,"UK LAY Central Park Trap 3,4",10,110,491m,A2,OUTSIDE_TOP3,6,15/2,8.5,OUTSIDE_TOP3,RETAINED,,
2026-09-11,Central Park,13:08,3,Speedy Uso,"UK LAY Central Park Trap 3,4",10,110,277m,D1,OUTSIDE_TOP3,6,12/1,13.0,OUTSIDE_TOP3,RETAINED,,
2026-09-11,Central Park,13:08,4,Millbank Jasmine,"UK LAY Central Park Trap 3,4",10,110,277m,D1,1,1,13/8,2.625,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-11,Central Park,13:26,3,Hollyoak Mercury,"UK LAY Central Park Trap 3,4",10,110,277m,D4,OUTSIDE_TOP3,5,7/1,8.0,OUTSIDE_TOP3,RETAINED,,
2026-09-11,Central Park,13:26,4,Yellow Submarine,"UK LAY Central Park Trap 3,4",10,110,277m,D4,1,4,13/2,7.5,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-11,Central Park,13:59,3,Montana Lady,"UK LAY Central Park Trap 3,4",10,110,277m,D5,2,2,5/2,3.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #2
2026-09-11,Central Park,13:59,4,Samrose Jet,"UK LAY Central Park Trap 3,4",10,110,277m,D5,3,4,4/1,5.0,OUTSIDE_TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-11,Central Park,14:14,3,Moaning Saka,"UK LAY Central Park Trap 3,4",10,110,277m,D4,3,3,9/2,5.5,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-11,Central Park,14:14,4,Darley Devaletta,"UK LAY Central Park Trap 3,4",10,110,277m,D4,OUTSIDE_TOP3,5,7/1,8.0,OUTSIDE_TOP3,RETAINED,,
2026-09-11,Harlow,10:32,2,Gooner Be Good,"UK LAY Harlow Trap 2,4",12,100,415m,A7,OUTSIDE_TOP3,4,6/1,7.0,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (6/1; decimal 7.00); retained absent converging danger evidence
2026-09-11,Harlow,10:32,4,Donegal Shane,"UK LAY Harlow Trap 2,4",12,100,415m,A7,OUTSIDE_TOP3,5,13/2,7.5,OUTSIDE_TOP3,RETAINED,,
2026-09-11,Harlow,10:48,2,Rhombus Lass,"UK LAY Harlow Trap 2,4",12,100,238m,D5,3,3,9/2,5.5,BOUNDARY_TIE,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-11,Harlow,10:48,4,Crying Jonesy,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,3,9/2,5.5,BOUNDARY_TIE,RETAINED,,Forecast tie crosses third-place boundary; retained absent stronger evidence
2026-09-11,Harlow,11:04,2,Moaning Mccoist,"UK LAY Harlow Trap 2,4",12,100,415m,A6,OUTSIDE_TOP3,6,12/1,13.0,OUTSIDE_TOP3,RETAINED,,
2026-09-11,Harlow,11:04,4,Foxrock Alfie,"UK LAY Harlow Trap 2,4",12,100,415m,A6,OUTSIDE_TOP3,4,9/2,5.5,OUTSIDE_TOP3,RETAINED,,Forecast #4 reviewed (9/2; decimal 5.50); retained absent converging danger evidence
2026-09-11,Harlow,11:54,2,Ballyer Rallyer,"UK LAY Harlow Trap 2,4",12,100,238m,D5,3,1,11/4,3.75,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-11,Harlow,11:54,4,Traptoline Elena,"UK LAY Harlow Trap 2,4",12,100,238m,D5,OUTSIDE_TOP3,5,6/1,7.0,OUTSIDE_TOP3,RETAINED,,
2026-09-11,Harlow,12:12,2,Day Tripper,"UK LAY Harlow Trap 2,4",12,100,415m,A7,OUTSIDE_TOP3,5,17/2,9.5,OUTSIDE_TOP3,RETAINED,,
2026-09-11,Harlow,12:12,4,Minnies Volga,"UK LAY Harlow Trap 2,4",12,100,415m,A7,1,2,3/1,4.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #1
2026-09-11,Harlow,12:46,2,Marys Glen,"UK LAY Harlow Trap 2,4",12,100,415m,A7,3,3,4/1,5.0,TOP3,EXCLUDED,ANALYST_TOP3,Timeform Analyst Verdict #3
2026-09-11,Harlow,12:46,4,Syls Angel,"UK LAY Harlow Trap 2,4",12,100,415m,A7,OUTSIDE_TOP3,6,13/2,7.5,OUTSIDE_TOP3,RETAINED,,
